Industry,Date,Unemployment,Vacancy,Hires,Tightness
Durable goods manufacturing,2011-06-01,952.0,146.0,150.0,0.15336134453781514
Durable goods manufacturing,2011-07-01,934.0,153.0,143.0,0.16381156316916487
Durable goods manufacturing,2011-08-01,876.0,165.0,147.0,0.18835616438356165
Durable goods manufacturing,2011-09-01,821.0,171.0,143.0,0.20828258221680876
Durable goods manufacturing,2011-10-01,759.0,154.0,147.0,0.2028985507246377
Durable goods manufacturing,2011-11-01,749.0,158.0,138.0,0.2109479305740988
Durable goods manufacturing,2011-12-01,783.0,160.0,156.0,0.20434227330779056
Durable goods manufacturing,2012-01-01,796.0,179.0,156.0,0.22487437185929648
Durable goods manufacturing,2012-02-01,787.0,165.0,152.0,0.2096569250317662
Durable goods manufacturing,2012-03-01,684.0,193.0,168.0,0.2821637426900585
Durable goods manufacturing,2012-04-01,620.0,150.0,155.0,0.24193548387096775
Durable goods manufacturing,2012-05-01,683.0,205.0,142.0,0.3001464128843338
Durable goods manufacturing,2012-06-01,654.0,189.0,166.0,0.2889908256880734
Durable goods manufacturing,2012-07-01,703.0,168.0,146.0,0.23897581792318634
Durable goods manufacturing,2012-08-01,698.0,155.0,136.0,0.22206303724928367
Durable goods manufacturing,2012-09-01,668.0,141.0,133.0,0.21107784431137724
Durable goods manufacturing,2012-10-01,672.0,164.0,157.0,0.24404761904761904
Durable goods manufacturing,2012-11-01,640.0,164.0,159.0,0.25625
Durable goods manufacturing,2012-12-01,706.0,165.0,151.0,0.23371104815864022
Durable goods manufacturing,2013-01-01,683.0,156.0,150.0,0.22840409956076135
Durable goods manufacturing,2013-02-01,693.0,179.0,149.0,0.2582972582972583
Durable goods manufacturing,2013-03-01,582.0,174.0,144.0,0.29896907216494845
Durable goods manufacturing,2013-04-01,583.0,156.0,153.0,0.26758147512864494
Durable goods manufacturing,2013-05-01,640.0,154.0,161.0,0.240625
Durable goods manufacturing,2013-06-01,569.0,137.0,141.0,0.24077328646748683
Durable goods manufacturing,2013-07-01,619.0,122.0,138.0,0.19709208400646203
Durable goods manufacturing,2013-08-01,542.0,194.0,157.0,0.35793357933579334
Durable goods manufacturing,2013-09-01,630.0,177.0,159.0,0.28095238095238095
Durable goods manufacturing,2013-10-01,609.0,178.0,141.0,0.2922824302134647
Durable goods manufacturing,2013-11-01,617.0,171.0,148.0,0.2771474878444084
Durable goods manufacturing,2013-12-01,571.0,180.0,143.0,0.31523642732049034
Durable goods manufacturing,2014-01-01,503.0,168.0,137.0,0.33399602385685884
Durable goods manufacturing,2014-02-01,454.0,163.0,141.0,0.3590308370044053
Durable goods manufacturing,2014-03-01,471.0,157.0,150.0,0.3333333333333333
Durable goods manufacturing,2014-04-01,441.0,172.0,151.0,0.3900226757369615
Durable goods manufacturing,2014-05-01,516.0,175.0,154.0,0.3391472868217054
Durable goods manufacturing,2014-06-01,396.0,189.0,157.0,0.4772727272727273
Durable goods manufacturing,2014-07-01,510.0,191.0,154.0,0.37450980392156863
Durable goods manufacturing,2014-08-01,506.0,185.0,140.0,0.36561264822134387
Durable goods manufacturing,2014-09-01,447.0,185.0,161.0,0.41387024608501116
Durable goods manufacturing,2014-10-01,424.0,189.0,182.0,0.44575471698113206
Durable goods manufacturing,2014-11-01,416.0,202.0,160.0,0.4855769230769231
