BEA_sector,date,v,u,e,U_monthly
Construction,2006-12-01,122,663,7685.0,5795
Durable goods,2006-12-01,245,403,8908.0,5795
Educational services,2006-12-01,72,99,2918.9,5795
Finance and insurance,2006-12-01,209,138,6177.1,5795
Government,2006-12-01,461,450,22088.0,5795
Health care and social assistance,2006-12-01,690,443,15120.9,5795
Information,2006-12-01,196,118,3032.0,5795
Mining,2006-12-01,13,24,705.0,5795
Nondurable goods,2006-12-01,126,269,5102.0,5795
"Other services, except government",2006-12-01,227,335,5466.0,5795
Professional and business services,2006-12-01,703,770,17771.0,5795
Real estate and rental and leasing,2006-12-01,74,107,2173.4,5795
Retail trade,2006-12-01,547,870,15408.5,5795
Transportation and warehousing,2006-12-01,169,210,4529.2,5795
Wholesale trade,2006-12-01,197,162,5964.6,5795
Accommodation and food services,2006-08-01,522,731,11207.9,6053
"Arts, entertainment, and recreation",2006-08-01,49,142,1944.1,6053
Construction,2006-08-01,207,761,7720.0,6053
Durable goods,2006-08-01,214,439,8991.0,6053
Educational services,2006-08-01,68,124,2892.0,6053
Finance and insurance,2006-08-01,227,174,6163.0,6053
Government,2006-08-01,467,465,22011.0,6053
Health care and social assistance,2006-08-01,707,424,14961.9,6053
Information,2006-08-01,178,127,3035.0,6053
Mining,2006-08-01,23,38,693.0,6053
Nondurable goods,2006-08-01,124,276,5168.0,6053
"Other services, except government",2006-08-01,190,317,5432.0,6053
Professional and business services,2006-08-01,736,727,17683.0,6053
Real estate and rental and leasing,2006-08-01,66,80,2173.3,6053
Retail trade,2006-08-01,433,855,15336.8,6053
Transportation and warehousing,2006-08-01,150,236,4479.5,6053
Wholesale trade,2006-08-01,167,137,5918.2,6053
Accommodation and food services,2006-06-01,457,734,11134.6,6012
"Arts, entertainment, and recreation",2006-06-01,58,149,1926.5,6012
Construction,2006-06-01,189,685,7699.0,6012
Durable goods,2006-06-01,233,398,9027.0,6012
Educational services,2006-06-01,43,109,2872.5,6012
Finance and insurance,2006-06-01,278,201,6142.9,6012
Government,2006-06-01,466,486,21922.0,6012
Health care and social assistance,2006-06-01,677,455,14901.4,6012
Information,2006-06-01,145,117,3037.0,6012
Mining,2006-06-01,20,24,686.0,6012
Nondurable goods,2006-06-01,124,272,5186.0,6012
"Other services, except government",2006-06-01,186,266,5432.0,6012
Professional and business services,2006-06-01,701,759,17581.0,6012
Real estate and rental and leasing,2006-06-01,92,84,2181.2,6012
Retail trade,2006-06-01,420,906,15325.8,6012
Transportation and warehousing,2006-06-01,146,220,4465.1,6012
Wholesale trade,2006-06-01,152,147,5903.0,6012
Accommodation and food services,2006-05-01,503,690,11130.1,6069
"Arts, entertainment, and recreation",2006-05-01,55,144,1921.4,6069
Construction,2006-05-01,168,726,7713.0,6069
Durable goods,2006-05-01,205,389,9018.0,6069
Educational services,2006-05-01,68,103,2904.3,6069
Finance and insurance,2006-05-01,290,197,6160.3,6069
Government,2006-05-01,448,495,21926.0,6069
Health care and social assistance,2006-05-01,624,473,14868.2,6069
Information,2006-05-01,139,158,3039.0,6069
Mining,2006-05-01,17,21,681.0,6069
Nondurable goods,2006-05-01,111,301,5187.0,6069
"Other services, except government",2006-05-01,183,275,5433.0,6069
Professional and business services,2006-05-01,928,717,17512.0,6069
Real estate and rental and leasing,2006-05-01,59,89,2178.0,6069
Retail trade,2006-05-01,471,905,15314.5,6069
Transportation and warehousing,2006-05-01,171,237,4459.4,6069
Wholesale trade,2006-05-01,159,149,5897.2,6069
Accommodation and food services,2006-02-01,517,797,11078.4,6159
"Arts, entertainment, and recreation",2006-02-01,45,168,1901.6,6159
Construction,2006-02-01,144,621,7664.0,6159
Durable goods,2006-02-01,267,439,8988.0,6159
Educational services,2006-02-01,81,106,2894.3,6159
Finance and insurance,2006-02-01,328,166,6125.6,6159
Government,2006-02-01,427,541,21878.0,6159
Health care and social assistance,2006-02-01,653,459,14783.3,6159
Information,2006-02-01,116,113,3052.0,6159
Mining,2006-02-01,16,22,662.0,6159
Nondurable goods,2006-02-01,110,319,5224.0,6159
"Other services, except government",2006-02-01,79,268,5426.0,6159
Professional and business services,2006-02-01,832,760,17368.0,6159
Real estate and rental and leasing,2006-02-01,49,85,2170.2,6159
Retail trade,2006-02-01,422,913,15360.5,6159
Transportation and warehousing,2006-02-01,113,232,4429.4,6159
Wholesale trade,2006-02-01,156,150,5854.8,6159
Accommodation and food services,2006-11-01,644,686,11299.3,5900
"Arts, entertainment, and recreation",2006-11-01,83,141,1951.6,5900
Construction,2006-11-01,134,685,7666.0,5900
Durable goods,2006-11-01,218,425,8912.0,5900
Educational services,2006-11-01,70,122,2924.2,5900
Finance and insurance,2006-11-01,245,150,6176.1,5900
Government,2006-11-01,464,437,22083.0,5900
Health care and social assistance,2006-11-01,708,436,15076.2,5900
Information,2006-11-01,189,132,3024.0,5900
Mining,2006-11-01,17,24,701.0,5900
Nondurable goods,2006-11-01,121,275,5122.0,5900
"Other services, except government",2006-11-01,166,295,5455.0,5900
Professional and business services,2006-11-01,785,713,17747.0,5900
Real estate and rental and leasing,2006-11-01,64,92,2174.1,5900
Retail trade,2006-11-01,424,943,15399.9,5900
Transportation and warehousing,2006-11-01,161,208,4509.3,5900
Wholesale trade,2006-11-01,182,136,5942.7,5900
Accommodation and food services,2006-07-01,491,704,11187.8,6182
"Arts, entertainment, and recreation",2006-07-01,72,154,1942.6,6182
Construction,2006-07-01,204,769,7712.0,6182
Durable goods,2006-07-01,213,416,9005.0,6182
Educational services,2006-07-01,67,125,2868.4,6182
Finance and insurance,2006-07-01,200,231,6156.2,6182
Government,2006-07-01,494,492,21973.0,6182
Health care and social assistance,2006-07-01,585,467,14934.1,6182
Information,2006-07-01,167,110,3032.0,6182
Mining,2006-07-01,13,22,690.0,6182
Nondurable goods,2006-07-01,108,309,5180.0,6182
"Other services, except government",2006-07-01,193,291,5429.0,6182
Professional and business services,2006-07-01,624,742,17631.0,6182
Real estate and rental and leasing,2006-07-01,67,95,2170.7,6182
Retail trade,2006-07-01,388,877,15322.1,6182
Transportation and warehousing,2006-07-01,137,230,4479.3,6182
Wholesale trade,2006-07-01,173,148,5911.2,6182
Accommodation and food services,2006-01-01,498,677,11048.0,5959
"Arts, entertainment, and recreation",2006-01-01,67,148,1897.4,5959
Construction,2006-01-01,157,650,7601.0,5959
Durable goods,2006-01-01,245,428,8983.0,5959
Educational services,2006-01-01,68,113,2876.7,5959
Finance and insurance,2006-01-01,289,142,6105.0,5959
Government,2006-01-01,364,461,21847.0,5959
Health care and social assistance,2006-01-01,626,482,14748.5,5959
Information,2006-01-01,139,100,3053.0,5959
Mining,2006-01-01,13,20,656.0,5959
Nondurable goods,2006-01-01,85,316,5228.0,5959
"Other services, except government",2006-01-01,92,306,5425.0,5959
Professional and business services,2006-01-01,833,717,17297.0,5959
Real estate and rental and leasing,2006-01-01,145,97,2164.7,5959
Retail trade,2006-01-01,451,900,15353.8,5959
Transportation and warehousing,2006-01-01,96,243,4420.0,5959
Wholesale trade,2006-01-01,166,159,5840.4,5959
Accommodation and food services,2006-09-01,435,773,11221.7,5945
"Arts, entertainment, and recreation",2006-09-01,119,124,1928.3,5945
Construction,2006-09-01,174,703,7718.0,5945
Durable goods,2006-09-01,226,389,8971.0,5945
Educational services,2006-09-01,86,127,2919.4,5945
Finance and insurance,2006-09-01,207,135,6176.9,5945
Government,2006-09-01,483,385,22082.0,5945
Health care and social assistance,2006-09-01,701,424,15005.4,5945
Information,2006-09-01,173,163,3028.0,5945
Mining,2006-09-01,18,19,694.0,5945
Nondurable goods,2006-09-01,122,281,5153.0,5945
"Other services, except government",2006-09-01,236,302,5448.0,5945
Professional and business services,2006-09-01,720,773,17681.0,5945
Real estate and rental and leasing,2006-09-01,49,107,2173.4,5945
Retail trade,2006-09-01,458,898,15350.8,5945
Transportation and warehousing,2006-09-01,170,201,4486.6,5945
Wholesale trade,2006-09-01,245,141,5927.6,5945
Accommodation and food services,2006-10-01,517,696,11244.0,5703
"Arts, entertainment, and recreation",2006-10-01,84,152,1943.2,5703
Construction,2006-10-01,180,545,7682.0,5703
Durable goods,2006-10-01,237,380,8941.0,5703
Educational services,2006-10-01,69,118,2916.7,5703
Finance and insurance,2006-10-01,243,166,6176.9,5703
Government,2006-10-01,456,451,22068.0,5703
Health care and social assistance,2006-10-01,766,426,15039.3,5703
Information,2006-10-01,167,119,3024.0,5703
Mining,2006-10-01,18,21,699.0,5703
Nondurable goods,2006-10-01,133,262,5127.0,5703
"Other services, except government",2006-10-01,164,281,5454.0,5703
Professional and business services,2006-10-01,779,791,17685.0,5703
Real estate and rental and leasing,2006-10-01,62,48,2166.3,5703
Retail trade,2006-10-01,429,903,15371.0,5703
Transportation and warehousing,2006-10-01,170,225,4496.1,5703
Wholesale trade,2006-10-01,198,119,5925.8,5703
Accommodation and food services,2006-04-01,515,778,11150.4,6108
"Arts, entertainment, and recreation",2006-04-01,70,142,1923.3,6108
Construction,2006-04-01,188,650,7726.0,6108
Durable goods,2006-04-01,248,414,9027.0,6108
Educational services,2006-04-01,67,118,2904.8,6108
Finance and insurance,2006-04-01,360,219,6157.7,6108
Government,2006-04-01,440,513,21919.0,6108
Health care and social assistance,2006-04-01,671,461,14840.3,6108
Information,2006-04-01,183,134,3045.0,6108
Mining,2006-04-01,19,18,679.0,6108
Nondurable goods,2006-04-01,131,309,5207.0,6108
"Other services, except government",2006-04-01,150,281,5426.0,6108
Professional and business services,2006-04-01,732,711,17465.0,6108
Real estate and rental and leasing,2006-04-01,56,81,2176.6,6108
Retail trade,2006-04-01,466,869,15351.4,6108
Transportation and warehousing,2006-04-01,175,263,4445.4,6108
Wholesale trade,2006-04-01,182,147,5886.9,6108
Accommodation and food services,2007-02-01,470,645,11379.1,5972
"Arts, entertainment, and recreation",2007-02-01,76,173,1965.4,5972
Construction,2007-02-01,285,818,7621.0,5972
Durable goods,2007-02-01,247,451,8888.0,5972
Educational services,2007-02-01,64,124,2911.8,5972
Finance and insurance,2007-02-01,210,158,6173.8,5972
Government,2007-02-01,458,464,22131.0,5972
Health care and social assistance,2007-02-01,618,406,15195.6,5972
Information,2007-02-01,200,134,3032.0,5972
Mining,2007-02-01,16,30,712.0,5972
Nondurable goods,2007-02-01,125,263,5109.0,5972
"Other services, except government",2007-02-01,242,244,5473.0,5972
Professional and business services,2007-02-01,655,744,17877.0,5972
Real estate and rental and leasing,2007-02-01,53,115,2174.1,5972
Retail trade,2007-02-01,431,849,15476.5,5972
Transportation and warehousing,2007-02-01,172,222,4530.5,5972
Wholesale trade,2007-02-01,144,132,5983.0,5972
Accommodation and food services,2007-12-01,567,825,11549.2,6601
"Arts, entertainment, and recreation",2007-12-01,47,172,1988.4,6601
Construction,2007-12-01,136,889,7487.0,6601
Durable goods,2007-12-01,162,470,8702.0,6601
Educational services,2007-12-01,69,141,2977.8,6601
Finance and insurance,2007-12-01,207,240,6070.6,6601
Government,2007-12-01,460,514,22377.0,6601
Health care and social assistance,2007-12-01,700,427,15577.5,6601
Information,2007-12-01,98,138,3024.0,6601
Mining,2007-12-01,19,23,740.0,6601
Nondurable goods,2007-12-01,138,314,5038.0,6601
"Other services, except government",2007-12-01,141,254,5514.0,6601
Professional and business services,2007-12-01,746,793,18052.0,6601
Real estate and rental and leasing,2007-12-01,84,94,2154.7,6601
Retail trade,2007-12-01,420,955,15580.6,6601
Transportation and warehousing,2007-12-01,141,229,4555.7,6601
Wholesale trade,2007-12-01,248,123,6037.6,6601
Accommodation and food services,2007-04-01,491,695,11421.4,5922
"Arts, entertainment, and recreation",2007-04-01,88,164,1956.9,5922
Construction,2007-04-01,188,822,7690.0,5922
Durable goods,2007-04-01,230,464,8865.0,5922
Educational services,2007-04-01,67,152,2928.1,5922
Finance and insurance,2007-04-01,162,169,6139.2,5922
Government,2007-04-01,439,509,22171.0,5922
Health care and social assistance,2007-04-01,695,437,15285.0,5922
Information,2007-04-01,175,78,3034.0,5922
Mining,2007-04-01,18,17,720.0,5922
Nondurable goods,2007-04-01,142,261,5084.0,5922
"Other services, except government",2007-04-01,208,242,5490.0,5922
Professional and business services,2007-04-01,809,755,17914.0,5922
Real estate and rental and leasing,2007-04-01,74,66,2175.4,5922
Retail trade,2007-04-01,409,785,15514.3,5922
Transportation and warehousing,2007-04-01,175,181,4534.5,5922
Wholesale trade,2007-04-01,288,125,6004.7,5922
Accommodation and food services,2007-11-01,606,823,11546.8,6166
"Arts, entertainment, and recreation",2007-11-01,104,162,1986.4,6166
Construction,2007-11-01,125,704,7535.0,6166
Durable goods,2007-11-01,193,446,8721.0,6166
Educational services,2007-11-01,65,133,2967.3,6166
Finance and insurance,2007-11-01,198,192,6079.0,6166
Government,2007-11-01,484,526,22331.0,6166
Health care and social assistance,2007-11-01,659,421,15540.8,6166
Information,2007-11-01,105,132,3025.0,6166
Mining,2007-11-01,20,18,736.0,6166
Nondurable goods,2007-11-01,137,320,5033.0,6166
"Other services, except government",2007-11-01,217,244,5506.0,6166
Professional and business services,2007-11-01,775,745,18010.0,6166
Real estate and rental and leasing,2007-11-01,51,85,2157.0,6166
Retail trade,2007-11-01,429,796,15573.9,6166
Transportation and warehousing,2007-11-01,180,278,4555.0,6166
Wholesale trade,2007-11-01,165,141,6040.8,6166
Accommodation and food services,2007-06-01,520,698,11451.3,5952
"Arts, entertainment, and recreation",2007-06-01,71,170,1975.1,5952
Construction,2007-06-01,167,719,7687.0,5952
Durable goods,2007-06-01,231,423,8828.0,5952
Educational services,2007-06-01,80,170,2929.5,5952
Finance and insurance,2007-06-01,208,223,6146.7,5952
Government,2007-06-01,460,480,22218.0,5952
Health care and social assistance,2007-06-01,710,409,15370.4,5952
Information,2007-06-01,166,115,3040.0,5952
Mining,2007-06-01,11,26,724.0,5952
Nondurable goods,2007-06-01,127,264,5080.0,5952
"Other services, except government",2007-06-01,271,255,5500.0,5952
Professional and business services,2007-06-01,812,728,17944.0,5952
Real estate and rental and leasing,2007-06-01,68,71,2172.0,5952
Retail trade,2007-06-01,444,832,15505.4,5952
Transportation and warehousing,2007-06-01,139,240,4535.0,5952
Wholesale trade,2007-06-01,210,129,6026.0,5952
Accommodation and food services,2007-05-01,515,716,11441.5,5852
"Arts, entertainment, and recreation",2007-05-01,59,110,1968.6,5852
Construction,2007-05-01,182,741,7675.0,5852
Durable goods,2007-05-01,221,454,8849.0,5852
Educational services,2007-05-01,62,185,2930.9,5852
Finance and insurance,2007-05-01,239,191,6151.3,5852
Government,2007-05-01,470,498,22201.0,5852
Health care and social assistance,2007-05-01,705,478,15324.0,5852
Information,2007-05-01,172,108,3041.0,5852
Mining,2007-05-01,14,24,720.0,5852
Nondurable goods,2007-05-01,152,203,5082.0,5852
"Other services, except government",2007-05-01,173,252,5497.0,5852
Professional and business services,2007-05-01,806,763,17937.0,5852
Real estate and rental and leasing,2007-05-01,55,87,2174.0,5852
Retail trade,2007-05-01,378,691,15527.8,5852
Transportation and warehousing,2007-05-01,148,225,4534.8,5852
Wholesale trade,2007-05-01,195,126,6011.1,5852
Accommodation and food services,2007-10-01,570,854,11518.1,6081
"Arts, entertainment, and recreation",2007-10-01,70,119,1981.3,6081
Construction,2007-10-01,143,753,7562.0,6081
Durable goods,2007-10-01,172,455,8717.0,6081
Educational services,2007-10-01,74,114,2970.8,6081
Finance and insurance,2007-10-01,213,202,6092.4,6081
Government,2007-10-01,459,524,22302.0,6081
Health care and social assistance,2007-10-01,688,425,15515.5,6081
Information,2007-10-01,109,125,3028.0,6081
Mining,2007-10-01,13,12,728.0,6081
Nondurable goods,2007-10-01,121,305,5035.0,6081
"Other services, except government",2007-10-01,231,190,5493.0,6081
Professional and business services,2007-10-01,770,696,18006.0,6081
Real estate and rental and leasing,2007-10-01,76,113,2164.1,6081
Retail trade,2007-10-01,363,814,15518.2,6081
Transportation and warehousing,2007-10-01,159,242,4548.8,6081
Wholesale trade,2007-10-01,215,138,6035.6,6081
Accommodation and food services,2007-03-01,516,685,11398.5,5713
"Arts, entertainment, and recreation",2007-03-01,67,159,1961.6,5713
Construction,2007-03-01,203,723,7707.0,5713
Durable goods,2007-03-01,249,436,8875.0,5713
Educational services,2007-03-01,60,138,2925.4,5713
Finance and insurance,2007-03-01,255,128,6164.5,5713
Government,2007-03-01,450,470,22149.0,5713
Health care and social assistance,2007-03-01,665,389,15233.7,5713
Information,2007-03-01,175,113,3030.0,5713
Mining,2007-03-01,17,23,715.0,5713
Nondurable goods,2007-03-01,136,269,5099.0,5713
"Other services, except government",2007-03-01,165,229,5485.0,5713
Professional and business services,2007-03-01,863,721,17888.0,5713
Real estate and rental and leasing,2007-03-01,63,111,2173.2,5713
Retail trade,2007-03-01,422,736,15526.5,5713
Transportation and warehousing,2007-03-01,182,225,4531.6,5713
Wholesale trade,2007-03-01,238,158,5987.6,5713
Accommodation and food services,2007-09-01,570,782,11484.7,6221
"Arts, entertainment, and recreation",2007-09-01,71,203,1967.4,6221
Construction,2007-09-01,121,715,7575.0,6221
Durable goods,2007-09-01,185,434,8752.0,6221
Educational services,2007-09-01,83,101,2962.8,6221
Finance and insurance,2007-09-01,254,203,6102.2,6221
Government,2007-09-01,445,508,22285.0,6221
Health care and social assistance,2007-09-01,760,493,15481.3,6221
Information,2007-09-01,121,118,3031.0,6221
Mining,2007-09-01,13,31,727.0,6221
Nondurable goods,2007-09-01,138,278,5037.0,6221
"Other services, except government",2007-09-01,203,249,5492.0,6221
Professional and business services,2007-09-01,754,687,17969.0,6221
Real estate and rental and leasing,2007-09-01,44,123,2165.2,6221
Retail trade,2007-09-01,415,885,15509.9,6221
Transportation and warehousing,2007-09-01,165,244,4554.9,6221
Wholesale trade,2007-09-01,178,167,6030.1,6221
Accommodation and food services,2007-08-01,553,747,11456.1,6069
"Arts, entertainment, and recreation",2007-08-01,60,146,1961.6,6069
Construction,2007-08-01,155,689,7611.0,6069
Durable goods,2007-08-01,210,352,8784.0,6069
Educational services,2007-08-01,77,128,2946.3,6069
Finance and insurance,2007-08-01,261,228,6122.8,6069
Government,2007-08-01,485,540,22221.0,6069
Health care and social assistance,2007-08-01,712,455,15444.8,6069
Information,2007-08-01,122,134,3030.0,6069
Mining,2007-08-01,11,36,728.0,6069
Nondurable goods,2007-08-01,112,279,5048.0,6069
"Other services, except government",2007-08-01,152,221,5497.0,6069
Professional and business services,2007-08-01,794,717,17963.0,6069
Real estate and rental and leasing,2007-08-01,72,135,2167.4,6069
Retail trade,2007-08-01,408,891,15507.2,6069
Transportation and warehousing,2007-08-01,163,220,4536.7,6069
Wholesale trade,2007-08-01,227,151,6031.0,6069
Accommodation and food services,2007-07-01,556,739,11455.0,6145
"Arts, entertainment, and recreation",2007-07-01,60,171,1965.5,6145
Construction,2007-07-01,180,739,7659.0,6145
Durable goods,2007-07-01,230,356,8815.0,6145
Educational services,2007-07-01,60,167,2928.8,6145
Finance and insurance,2007-07-01,242,208,6152.3,6145
Government,2007-07-01,451,523,22152.0,6145
Health care and social assistance,2007-07-01,678,412,15410.5,6145
Information,2007-07-01,157,116,3038.0,6145
Mining,2007-07-01,13,31,729.0,6145
Nondurable goods,2007-07-01,144,263,5075.0,6145
"Other services, except government",2007-07-01,149,236,5501.0,6145
Professional and business services,2007-07-01,724,756,17955.0,6145
Real estate and rental and leasing,2007-07-01,71,102,2170.4,6145
Retail trade,2007-07-01,441,897,15507.0,6145
Transportation and warehousing,2007-07-01,159,296,4538.0,6145
Wholesale trade,2007-07-01,208,133,6030.8,6145
Accommodation and food services,2007-01-01,483,656,11361.0,5986
"Arts, entertainment, and recreation",2007-01-01,76,163,1960.7,5986
Construction,2007-01-01,294,708,7718.0,5986
Durable goods,2007-01-01,230,501,8892.0,5986
Educational services,2007-01-01,59,131,2914.5,5986
Finance and insurance,2007-01-01,217,141,6173.6,5986
Government,2007-01-01,442,480,22101.0,5986
Health care and social assistance,2007-01-01,691,438,15156.7,5986
Information,2007-01-01,166,134,3029.0,5986
Mining,2007-01-01,15,28,705.0,5986
Nondurable goods,2007-01-01,145,222,5117.0,5986
"Other services, except government",2007-01-01,197,269,5466.0,5986
Professional and business services,2007-01-01,777,773,17830.0,5986
Real estate and rental and leasing,2007-01-01,46,99,2172.3,5986
Retail trade,2007-01-01,460,864,15450.6,5986
Transportation and warehousing,2007-01-01,186,212,4530.4,5986
Wholesale trade,2007-01-01,212,167,5967.4,5986
Accommodation and food services,2008-08-01,341,945,11457.2,8119
"Arts, entertainment, and recreation",2008-08-01,51,201,1963.9,8119
Construction,2008-08-01,84,1007,7115.0,8119
Durable goods,2008-08-01,143,652,8430.0,8119
Educational services,2008-08-01,66,206,3090.4,8119
Finance and insurance,2008-08-01,146,276,6010.9,8119
Government,2008-08-01,461,558,22577.0,8119
Health care and social assistance,2008-08-01,605,542,15843.4,8119
Information,2008-08-01,87,138,2976.0,8119
Mining,2008-08-01,27,17,779.0,8119
Nondurable goods,2008-08-01,109,362,4928.0,8119
"Other services, except government",2008-08-01,202,385,5513.0,8119
Professional and business services,2008-08-01,624,997,17699.0,8119
Real estate and rental and leasing,2008-08-01,37,125,2129.0,8119
Retail trade,2008-08-01,356,1189,15233.9,8119
Transportation and warehousing,2008-08-01,108,326,4514.3,8119
Wholesale trade,2008-08-01,90,193,5927.7,8119
Accommodation and food services,2008-07-01,363,947,11483.0,7606
"Arts, entertainment, and recreation",2008-07-01,50,210,1967.9,7606
Construction,2008-07-01,102,929,7157.0,7606
Durable goods,2008-07-01,133,588,8500.0,7606
Educational services,2008-07-01,81,170,3066.6,7606
Finance and insurance,2008-07-01,136,235,6024.5,7606
Government,2008-07-01,415,570,22527.0,7606
Health care and social assistance,2008-07-01,624,517,15818.3,7606
Information,2008-07-01,70,139,2988.0,7606
Mining,2008-07-01,24,13,772.0,7606
Nondurable goods,2008-07-01,99,321,4943.0,7606
"Other services, except government",2008-07-01,198,349,5524.0,7606
Professional and business services,2008-07-01,625,890,17776.0,7606
Real estate and rental and leasing,2008-07-01,61,122,2135.8,7606
Retail trade,2008-07-01,351,1085,15297.2,7606
Transportation and warehousing,2008-07-01,120,343,4526.4,7606
Wholesale trade,2008-07-01,102,178,5947.8,7606
Accommodation and food services,2008-12-01,287,1075,11308.5,9824
"Arts, entertainment, and recreation",2008-12-01,38,174,1948.7,9824
Construction,2008-12-01,74,1318,6700.0,9824
Durable goods,2008-12-01,85,857,8058.0,9824
Educational services,2008-12-01,65,269,3068.4,9824
Finance and insurance,2008-12-01,139,367,5915.9,9824
Government,2008-12-01,337,584,22561.0,9824
Health care and social assistance,2008-12-01,560,596,15958.5,9824
Information,2008-12-01,57,243,2909.0,9824
Mining,2008-12-01,18,43,769.0,9824
Nondurable goods,2008-12-01,71,475,4785.0,9824
"Other services, except government",2008-12-01,200,395,5445.0,9824
Professional and business services,2008-12-01,531,1154,17227.0,9824
Real estate and rental and leasing,2008-12-01,44,194,2081.8,9824
Retail trade,2008-12-01,299,1386,14883.9,9824
Transportation and warehousing,2008-12-01,78,455,4403.8,9824
Wholesale trade,2008-12-01,73,239,5796.1,9824
Accommodation and food services,2008-11-01,274,1014,11346.9,9238
"Arts, entertainment, and recreation",2008-11-01,32,273,1943.7,9238
Construction,2008-11-01,71,1335,6813.0,9238
Durable goods,2008-11-01,95,753,8180.0,9238
Educational services,2008-11-01,70,228,3063.8,9238
Finance and insurance,2008-11-01,118,340,5943.0,9238
Government,2008-11-01,375,576,22544.0,9238
Health care and social assistance,2008-11-01,556,565,15928.8,9238
Information,2008-11-01,63,179,2932.0,9238
Mining,2008-11-01,13,35,776.0,9238
Nondurable goods,2008-11-01,73,416,4838.0,9238
"Other services, except government",2008-11-01,186,417,5475.0,9238
Professional and business services,2008-11-01,529,1092,17337.0,9238
Real estate and rental and leasing,2008-11-01,57,179,2089.4,9238
Retail trade,2008-11-01,395,1214,14974.7,9238
Transportation and warehousing,2008-11-01,76,379,4415.9,9238
Wholesale trade,2008-11-01,85,243,5837.8,9238
Accommodation and food services,2008-05-01,470,880,11506.0,7044
"Arts, entertainment, and recreation",2008-05-01,65,187,1982.2,7044
Construction,2008-05-01,140,868,7281.0,7044
Durable goods,2008-05-01,168,570,8579.0,7044
Educational services,2008-05-01,59,196,3028.5,7044
Finance and insurance,2008-05-01,140,235,6045.3,7044
Government,2008-05-01,447,539,22454.0,7044
Health care and social assistance,2008-05-01,662,462,15765.7,7044
Information,2008-05-01,89,166,3008.0,7044
Mining,2008-05-01,20,31,760.0,7044
Nondurable goods,2008-05-01,115,306,4988.0,7044
"Other services, except government",2008-05-01,210,285,5537.0,7044
Professional and business services,2008-05-01,669,842,17885.0,7044
Real estate and rental and leasing,2008-05-01,69,124,2144.4,7044
Retail trade,2008-05-01,368,898,15376.6,7044
Transportation and warehousing,2008-05-01,103,281,4544.9,7044
Wholesale trade,2008-05-01,158,174,5980.6,7044
Accommodation and food services,2008-02-01,477,828,11543.6,6429
"Arts, entertainment, and recreation",2008-02-01,71,162,1993.7,6429
Construction,2008-02-01,135,851,7433.0,6429
Durable goods,2008-02-01,152,443,8672.0,6429
Educational services,2008-02-01,54,175,2992.7,6429
Finance and insurance,2008-02-01,185,194,6056.9,6429
Government,2008-02-01,427,427,22431.0,6429
Health care and social assistance,2008-02-01,711,437,15651.9,6429
Information,2008-02-01,76,189,3020.0,6429
Mining,2008-02-01,19,15,748.0,6429
Nondurable goods,2008-02-01,126,318,5022.0,6429
"Other services, except government",2008-02-01,124,295,5530.0,6429
Professional and business services,2008-02-01,753,785,18012.0,6429
Real estate and rental and leasing,2008-02-01,50,103,2150.2,6429
Retail trade,2008-02-01,364,836,15525.4,6429
Transportation and warehousing,2008-02-01,144,254,4552.9,6429
Wholesale trade,2008-02-01,178,117,6022.0,6429
Accommodation and food services,2008-06-01,399,922,11498.0,7287
"Arts, entertainment, and recreation",2008-06-01,48,180,1980.8,7287
Construction,2008-06-01,111,926,7212.0,7287
Durable goods,2008-06-01,153,559,8547.0,7287
Educational services,2008-06-01,54,130,3051.1,7287
Finance and insurance,2008-06-01,147,190,6034.2,7287
Government,2008-06-01,422,546,22493.0,7287
Health care and social assistance,2008-06-01,659,487,15790.1,7287
Information,2008-06-01,90,155,3001.0,7287
Mining,2008-06-01,22,24,766.0,7287
Nondurable goods,2008-06-01,100,338,4964.0,7287
"Other services, except government",2008-06-01,129,316,5527.0,7287
Professional and business services,2008-06-01,709,902,17840.0,7287
Real estate and rental and leasing,2008-06-01,42,138,2143.1,7287
Retail trade,2008-06-01,305,976,15341.9,7287
Transportation and warehousing,2008-06-01,114,329,4531.8,7287
Wholesale trade,2008-06-01,134,169,5966.6,7287
Accommodation and food services,2008-10-01,315,934,11394.2,8670
"Arts, entertainment, and recreation",2008-10-01,42,254,1951.9,8670
Construction,2008-10-01,62,1246,6967.0,8670
Durable goods,2008-10-01,115,654,8267.0,8670
Educational services,2008-10-01,59,228,3060.9,8670
Finance and insurance,2008-10-01,100,323,5974.2,8670
Government,2008-10-01,394,590,22559.0,8670
Health care and social assistance,2008-10-01,551,569,15894.4,8670
Information,2008-10-01,77,179,2952.0,8670
Mining,2008-10-01,15,19,781.0,8670
Nondurable goods,2008-10-01,95,398,4872.0,8670
"Other services, except government",2008-10-01,146,341,5512.0,8670
Professional and business services,2008-10-01,547,1085,17518.0,8670
Real estate and rental and leasing,2008-10-01,31,121,2103.2,8670
Retail trade,2008-10-01,345,1135,15105.1,8670
Transportation and warehousing,2008-10-01,104,355,4456.2,8670
Wholesale trade,2008-10-01,72,239,5876.0,8670
Accommodation and food services,2008-09-01,334,920,11425.9,8266
"Arts, entertainment, and recreation",2008-09-01,37,211,1944.4,8266
Construction,2008-09-01,108,1162,7042.0,8266
Durable goods,2008-09-01,130,729,8368.0,8266
Educational services,2008-09-01,50,211,3075.5,8266
Finance and insurance,2008-09-01,122,279,5992.0,8266
