BEA_sector,date,v,u,U_monthly
Finance and insurance,2002-12-01,176,248,7694
Government,2002-12-01,368,501,7694
Health care and social assistance,2002-12-01,609,496,7694
Information,2002-12-01,52,245,7694
Mining,2002-12-01,4,43,7694
Nondurable goods,2002-12-01,85,395,7694
"Other services, except government",2002-12-01,144,287,7694
Professional and business services,2002-12-01,554,1037,7694
Real estate and rental and leasing,2002-12-01,40,114,7694
Retail trade,2002-12-01,246,1054,7694
Transportation and warehousing,2002-12-01,97,253,7694
Wholesale trade,2002-12-01,91,208,7694
Accommodation and food services,2002-05-01,364,857,7563
"Arts, entertainment, and recreation",2002-05-01,65,200,7563
Construction,2002-05-01,112,750,7563
Durable goods,2002-05-01,160,782,7563
Educational services,2002-05-01,47,124,7563
Finance and insurance,2002-05-01,173,224,7563
Government,2002-05-01,458,554,7563
Health care and social assistance,2002-05-01,626,447,7563
Information,2002-05-01,99,263,7563
Mining,2002-05-01,5,26,7563
Nondurable goods,2002-05-01,90,462,7563
"Other services, except government",2002-05-01,159,289,7563
Professional and business services,2002-05-01,671,1009,7563
Real estate and rental and leasing,2002-05-01,50,118,7563
Retail trade,2002-05-01,340,976,7563
Transportation and warehousing,2002-05-01,112,283,7563
Wholesale trade,2002-05-01,102,199,7563
Accommodation and food services,2002-08-01,350,746,7375
"Arts, entertainment, and recreation",2002-08-01,53,161,7375
Construction,2002-08-01,111,798,7375
Durable goods,2002-08-01,159,756,7375
Educational services,2002-08-01,45,118,7375
Finance and insurance,2002-08-01,184,227,7375
Government,2002-08-01,457,481,7375
Health care and social assistance,2002-08-01,659,456,7375
Information,2002-08-01,80,269,7375
Mining,2002-08-01,8,46,7375
Nondurable goods,2002-08-01,90,401,7375
"Other services, except government",2002-08-01,141,327,7375
Professional and business services,2002-08-01,597,1016,7375
Real estate and rental and leasing,2002-08-01,36,104,7375
Retail trade,2002-08-01,322,996,7375
Transportation and warehousing,2002-08-01,105,254,7375
Wholesale trade,2002-08-01,108,219,7375
Accommodation and food services,2002-07-01,362,814,7397
"Arts, entertainment, and recreation",2002-07-01,40,173,7397
Construction,2002-07-01,101,768,7397
Durable goods,2002-07-01,167,753,7397
Educational services,2002-07-01,55,134,7397
Finance and insurance,2002-07-01,189,220,7397
Government,2002-07-01,407,495,7397
Health care and social assistance,2002-07-01,642,459,7397
Information,2002-07-01,97,270,7397
Mining,2002-07-01,6,17,7397
Nondurable goods,2002-07-01,93,403,7397
"Other services, except government",2002-07-01,135,322,7397
Professional and business services,2002-07-01,599,1091,7397
Real estate and rental and leasing,2002-07-01,44,106,7397
Retail trade,2002-07-01,345,884,7397
Transportation and warehousing,2002-07-01,75,273,7397
Wholesale trade,2002-07-01,95,215,7397
Accommodation and food services,2002-10-01,354,820,7394
"Arts, entertainment, and recreation",2002-10-01,54,182,7394
Construction,2002-10-01,134,832,7394
Durable goods,2002-10-01,145,707,7394
Educational services,2002-10-01,43,147,7394
Finance and insurance,2002-10-01,197,211,7394
Government,2002-10-01,409,526,7394
Health care and social assistance,2002-10-01,638,405,7394
Information,2002-10-01,76,219,7394
Mining,2002-10-01,8,37,7394
Nondurable goods,2002-10-01,85,407,7394
"Other services, except government",2002-10-01,171,282,7394
Professional and business services,2002-10-01,723,981,7394
Real estate and rental and leasing,2002-10-01,73,104,7394
Retail trade,2002-10-01,395,1050,7394
Transportation and warehousing,2002-10-01,91,267,7394
Wholesale trade,2002-10-01,107,217,7394
Accommodation and food services,2002-01-01,371,742,7303
"Arts, entertainment, and recreation",2002-01-01,60,152,7303
Construction,2002-01-01,113,846,7303
Durable goods,2002-01-01,154,809,7303
Educational services,2002-01-01,57,115,7303
Finance and insurance,2002-01-01,264,187,7303
Government,2002-01-01,400,489,7303
Health care and social assistance,2002-01-01,698,460,7303
Information,2002-01-01,99,258,7303
Mining,2002-01-01,14,28,7303
Nondurable goods,2002-01-01,106,434,7303
"Other services, except government",2002-01-01,175,309,7303
Professional and business services,2002-01-01,561,967,7303
Real estate and rental and leasing,2002-01-01,55,91,7303
Retail trade,2002-01-01,374,925,7303
Transportation and warehousing,2002-01-01,94,307,7303
Wholesale trade,2002-01-01,100,184,7303
Accommodation and food services,2002-09-01,346,806,7431
"Arts, entertainment, and recreation",2002-09-01,34,155,7431
Construction,2002-09-01,133,769,7431
Durable goods,2002-09-01,147,751,7431
Educational services,2002-09-01,49,148,7431
Finance and insurance,2002-09-01,130,216,7431
Government,2002-09-01,439,523,7431
Health care and social assistance,2002-09-01,672,427,7431
Information,2002-09-01,70,234,7431
Mining,2002-09-01,6,50,7431
Nondurable goods,2002-09-01,94,415,7431
"Other services, except government",2002-09-01,154,297,7431
Professional and business services,2002-09-01,587,1059,7431
Real estate and rental and leasing,2002-09-01,35,89,7431
Retail trade,2002-09-01,319,1023,7431
Transportation and warehousing,2002-09-01,75,261,7431
Wholesale trade,2002-09-01,104,208,7431
Accommodation and food services,2002-06-01,339,776,7444
"Arts, entertainment, and recreation",2002-06-01,50,194,7444
Construction,2002-06-01,132,738,7444
Durable goods,2002-06-01,158,804,7444
Educational services,2002-06-01,94,130,7444
Finance and insurance,2002-06-01,181,234,7444
Government,2002-06-01,417,475,7444
Health care and social assistance,2002-06-01,649,433,7444
Information,2002-06-01,72,271,7444
Mining,2002-06-01,8,32,7444
Nondurable goods,2002-06-01,99,409,7444
"Other services, except government",2002-06-01,121,321,7444
Professional and business services,2002-06-01,525,1078,7444
Real estate and rental and leasing,2002-06-01,59,104,7444
Retail trade,2002-06-01,339,988,7444
Transportation and warehousing,2002-06-01,85,267,7444
Wholesale trade,2002-06-01,120,190,7444
Accommodation and food services,2002-03-01,355,767,7399
"Arts, entertainment, and recreation",2002-03-01,74,160,7399
Construction,2002-03-01,125,805,7399
Durable goods,2002-03-01,139,819,7399
Educational services,2002-03-01,56,125,7399
Finance and insurance,2002-03-01,214,190,7399
Government,2002-03-01,440,518,7399
Health care and social assistance,2002-03-01,684,444,7399
Information,2002-03-01,96,256,7399
Mining,2002-03-01,4,30,7399
Nondurable goods,2002-03-01,102,430,7399
"Other services, except government",2002-03-01,165,297,7399
Professional and business services,2002-03-01,595,939,7399
Real estate and rental and leasing,2002-03-01,28,105,7399
Retail trade,2002-03-01,354,1036,7399
Transportation and warehousing,2002-03-01,92,285,7399
Wholesale trade,2002-03-01,171,193,7399
Accommodation and food services,2002-11-01,384,808,7438
"Arts, entertainment, and recreation",2002-11-01,45,167,7438
Construction,2002-11-01,120,828,7438
Durable goods,2002-11-01,143,754,7438
Educational services,2002-11-01,50,111,7438
Finance and insurance,2002-11-01,214,239,7438
Government,2002-11-01,461,508,7438
Health care and social assistance,2002-11-01,686,406,7438
Information,2002-11-01,71,215,7438
Mining,2002-11-01,6,34,7438
Nondurable goods,2002-11-01,94,393,7438
"Other services, except government",2002-11-01,152,293,7438
Professional and business services,2002-11-01,676,1037,7438
