BEA_sector,date,v,u,U_monthly
"Other services, except government",2007-11-01,217,244,6166
Professional and business services,2007-11-01,775,745,6166
Real estate and rental and leasing,2007-11-01,51,85,6166
Retail trade,2007-11-01,429,796,6166
Transportation and warehousing,2007-11-01,180,278,6166
Wholesale trade,2007-11-01,165,141,6166
Accommodation and food services,2007-06-01,520,698,5952
"Arts, entertainment, and recreation",2007-06-01,71,170,5952
Construction,2007-06-01,167,719,5952
Durable goods,2007-06-01,231,423,5952
Educational services,2007-06-01,80,170,5952
Finance and insurance,2007-06-01,208,223,5952
Government,2007-06-01,460,480,5952
Health care and social assistance,2007-06-01,710,409,5952
Information,2007-06-01,166,115,5952
Mining,2007-06-01,11,26,5952
Nondurable goods,2007-06-01,127,264,5952
"Other services, except government",2007-06-01,271,255,5952
Professional and business services,2007-06-01,812,728,5952
Real estate and rental and leasing,2007-06-01,68,71,5952
Retail trade,2007-06-01,444,832,5952
Transportation and warehousing,2007-06-01,139,240,5952
Wholesale trade,2007-06-01,210,129,5952
Accommodation and food services,2007-05-01,515,716,5852
"Arts, entertainment, and recreation",2007-05-01,59,110,5852
Construction,2007-05-01,182,741,5852
Durable goods,2007-05-01,221,454,5852
Educational services,2007-05-01,62,185,5852
Finance and insurance,2007-05-01,239,191,5852
Government,2007-05-01,470,498,5852
Health care and social assistance,2007-05-01,705,478,5852
Information,2007-05-01,172,108,5852
Mining,2007-05-01,14,24,5852
Nondurable goods,2007-05-01,152,203,5852
"Other services, except government",2007-05-01,173,252,5852
Professional and business services,2007-05-01,806,763,5852
Real estate and rental and leasing,2007-05-01,55,87,5852
Retail trade,2007-05-01,378,691,5852
Transportation and warehousing,2007-05-01,148,225,5852
Wholesale trade,2007-05-01,195,126,5852
Accommodation and food services,2007-10-01,570,854,6081
"Arts, entertainment, and recreation",2007-10-01,70,119,6081
Construction,2007-10-01,143,753,6081
Durable goods,2007-10-01,172,455,6081
Educational services,2007-10-01,74,114,6081
Finance and insurance,2007-10-01,213,202,6081
Government,2007-10-01,459,524,6081
Health care and social assistance,2007-10-01,688,425,6081
Information,2007-10-01,109,125,6081
Mining,2007-10-01,13,12,6081
Nondurable goods,2007-10-01,121,305,6081
"Other services, except government",2007-10-01,231,190,6081
Professional and business services,2007-10-01,770,696,6081
Real estate and rental and leasing,2007-10-01,76,113,6081
Retail trade,2007-10-01,363,814,6081
Transportation and warehousing,2007-10-01,159,242,6081
Wholesale trade,2007-10-01,215,138,6081
Accommodation and food services,2007-03-01,516,685,5713
"Arts, entertainment, and recreation",2007-03-01,67,159,5713
Construction,2007-03-01,203,723,5713
Durable goods,2007-03-01,249,436,5713
Educational services,2007-03-01,60,138,5713
Finance and insurance,2007-03-01,255,128,5713
Government,2007-03-01,450,470,5713
Health care and social assistance,2007-03-01,665,389,5713
Information,2007-03-01,175,113,5713
Mining,2007-03-01,17,23,5713
Nondurable goods,2007-03-01,136,269,5713
"Other services, except government",2007-03-01,165,229,5713
Professional and business services,2007-03-01,863,721,5713
Real estate and rental and leasing,2007-03-01,63,111,5713
Retail trade,2007-03-01,422,736,5713
Transportation and warehousing,2007-03-01,182,225,5713
Wholesale trade,2007-03-01,238,158,5713
Accommodation and food services,2007-09-01,570,782,6221
"Arts, entertainment, and recreation",2007-09-01,71,203,6221
Construction,2007-09-01,121,715,6221
Durable goods,2007-09-01,185,434,6221
Educational services,2007-09-01,83,101,6221
Finance and insurance,2007-09-01,254,203,6221
Government,2007-09-01,445,508,6221
Health care and social assistance,2007-09-01,760,493,6221
Information,2007-09-01,121,118,6221
Mining,2007-09-01,13,31,6221
Nondurable goods,2007-09-01,138,278,6221
"Other services, except government",2007-09-01,203,249,6221
Professional and business services,2007-09-01,754,687,6221
Real estate and rental and leasing,2007-09-01,44,123,6221
Retail trade,2007-09-01,415,885,6221
Transportation and warehousing,2007-09-01,165,244,6221
Wholesale trade,2007-09-01,178,167,6221
Accommodation and food services,2007-08-01,553,747,6069
"Arts, entertainment, and recreation",2007-08-01,60,146,6069
Construction,2007-08-01,155,689,6069
Durable goods,2007-08-01,210,352,6069
Educational services,2007-08-01,77,128,6069
Finance and insurance,2007-08-01,261,228,6069
Government,2007-08-01,485,540,6069
Health care and social assistance,2007-08-01,712,455,6069
Information,2007-08-01,122,134,6069
Mining,2007-08-01,11,36,6069
Nondurable goods,2007-08-01,112,279,6069
"Other services, except government",2007-08-01,152,221,6069
Professional and business services,2007-08-01,794,717,6069
Real estate and rental and leasing,2007-08-01,72,135,6069
Retail trade,2007-08-01,408,891,6069
Transportation and warehousing,2007-08-01,163,220,6069
Wholesale trade,2007-08-01,227,151,6069
Accommodation and food services,2007-07-01,556,739,6145
"Arts, entertainment, and recreation",2007-07-01,60,171,6145
Construction,2007-07-01,180,739,6145
Durable goods,2007-07-01,230,356,6145
Educational services,2007-07-01,60,167,6145
Finance and insurance,2007-07-01,242,208,6145
Government,2007-07-01,451,523,6145
Health care and social assistance,2007-07-01,678,412,6145
Information,2007-07-01,157,116,6145
Mining,2007-07-01,13,31,6145
Nondurable goods,2007-07-01,144,263,6145
"Other services, except government",2007-07-01,149,236,6145
Professional and business services,2007-07-01,724,756,6145
Real estate and rental and leasing,2007-07-01,71,102,6145
Retail trade,2007-07-01,441,897,6145
Transportation and warehousing,2007-07-01,159,296,6145
Wholesale trade,2007-07-01,208,133,6145
Accommodation and food services,2007-01-01,483,656,5986
"Arts, entertainment, and recreation",2007-01-01,76,163,5986
Construction,2007-01-01,294,708,5986
Durable goods,2007-01-01,230,501,5986
Educational services,2007-01-01,59,131,5986
Finance and insurance,2007-01-01,217,141,5986
Government,2007-01-01,442,480,5986
Health care and social assistance,2007-01-01,691,438,5986
Information,2007-01-01,166,134,5986
Mining,2007-01-01,15,28,5986
Nondurable goods,2007-01-01,145,222,5986
"Other services, except government",2007-01-01,197,269,5986
Professional and business services,2007-01-01,777,773,5986
Real estate and rental and leasing,2007-01-01,46,99,5986
Retail trade,2007-01-01,460,864,5986
Transportation and warehousing,2007-01-01,186,212,5986
Wholesale trade,2007-01-01,212,167,5986
Accommodation and food services,2008-08-01,341,945,8119
"Arts, entertainment, and recreation",2008-08-01,51,201,8119
Construction,2008-08-01,84,1007,8119
Durable goods,2008-08-01,143,652,8119
Educational services,2008-08-01,66,206,8119
Finance and insurance,2008-08-01,146,276,8119
Government,2008-08-01,461,558,8119
Health care and social assistance,2008-08-01,605,542,8119
Information,2008-08-01,87,138,8119
Mining,2008-08-01,27,17,8119
Nondurable goods,2008-08-01,109,362,8119
"Other services, except government",2008-08-01,202,385,8119
Professional and business services,2008-08-01,624,997,8119
Real estate and rental and leasing,2008-08-01,37,125,8119
Retail trade,2008-08-01,356,1189,8119
Transportation and warehousing,2008-08-01,108,326,8119
Wholesale trade,2008-08-01,90,193,8119
Accommodation and food services,2008-07-01,363,947,7606
"Arts, entertainment, and recreation",2008-07-01,50,210,7606
Construction,2008-07-01,102,929,7606
Durable goods,2008-07-01,133,588,7606
Educational services,2008-07-01,81,170,7606
Finance and insurance,2008-07-01,136,235,7606
Government,2008-07-01,415,570,7606
Health care and social assistance,2008-07-01,624,517,7606
Information,2008-07-01,70,139,7606
Mining,2008-07-01,24,13,7606
Nondurable goods,2008-07-01,99,321,7606
"Other services, except government",2008-07-01,198,349,7606
Professional and business services,2008-07-01,625,890,7606
Real estate and rental and leasing,2008-07-01,61,122,7606
Retail trade,2008-07-01,351,1085,7606
Transportation and warehousing,2008-07-01,120,343,7606
Wholesale trade,2008-07-01,102,178,7606
Accommodation and food services,2008-12-01,287,1075,9824
"Arts, entertainment, and recreation",2008-12-01,38,174,9824
Construction,2008-12-01,74,1318,9824
Durable goods,2008-12-01,85,857,9824
Educational services,2008-12-01,65,269,9824
Finance and insurance,2008-12-01,139,367,9824
Government,2008-12-01,337,584,9824
Health care and social assistance,2008-12-01,560,596,9824
Information,2008-12-01,57,243,9824
Mining,2008-12-01,18,43,9824
Nondurable goods,2008-12-01,71,475,9824
"Other services, except government",2008-12-01,200,395,9824
Professional and business services,2008-12-01,531,1154,9824
Real estate and rental and leasing,2008-12-01,44,194,9824
Retail trade,2008-12-01,299,1386,9824
Transportation and warehousing,2008-12-01,78,455,9824
Wholesale trade,2008-12-01,73,239,9824
Accommodation and food services,2008-11-01,274,1014,9238
"Arts, entertainment, and recreation",2008-11-01,32,273,9238
Construction,2008-11-01,71,1335,9238
Durable goods,2008-11-01,95,753,9238
Educational services,2008-11-01,70,228,9238
Finance and insurance,2008-11-01,118,340,9238
Government,2008-11-01,375,576,9238
Health care and social assistance,2008-11-01,556,565,9238
Information,2008-11-01,63,179,9238
Mining,2008-11-01,13,35,9238
Nondurable goods,2008-11-01,73,416,9238
"Other services, except government",2008-11-01,186,417,9238
Professional and business services,2008-11-01,529,1092,9238
Real estate and rental and leasing,2008-11-01,57,179,9238
Retail trade,2008-11-01,395,1214,9238
Transportation and warehousing,2008-11-01,76,379,9238
Wholesale trade,2008-11-01,85,243,9238
Accommodation and food services,2008-05-01,470,880,7044
"Arts, entertainment, and recreation",2008-05-01,65,187,7044
Construction,2008-05-01,140,868,7044
Durable goods,2008-05-01,168,570,7044
Educational services,2008-05-01,59,196,7044
Finance and insurance,2008-05-01,140,235,7044
Government,2008-05-01,447,539,7044
Health care and social assistance,2008-05-01,662,462,7044
Information,2008-05-01,89,166,7044
Mining,2008-05-01,20,31,7044
Nondurable goods,2008-05-01,115,306,7044
"Other services, except government",2008-05-01,210,285,7044
Professional and business services,2008-05-01,669,842,7044
Real estate and rental and leasing,2008-05-01,69,124,7044
Retail trade,2008-05-01,368,898,7044
Transportation and warehousing,2008-05-01,103,281,7044
Wholesale trade,2008-05-01,158,174,7044
Accommodation and food services,2008-02-01,477,828,6429
"Arts, entertainment, and recreation",2008-02-01,71,162,6429
Construction,2008-02-01,135,851,6429
Durable goods,2008-02-01,152,443,6429
Educational services,2008-02-01,54,175,6429
Finance and insurance,2008-02-01,185,194,6429
Government,2008-02-01,427,427,6429
Health care and social assistance,2008-02-01,711,437,6429
Information,2008-02-01,76,189,6429
Mining,2008-02-01,19,15,6429
Nondurable goods,2008-02-01,126,318,6429
"Other services, except government",2008-02-01,124,295,6429
Professional and business services,2008-02-01,753,785,6429
Real estate and rental and leasing,2008-02-01,50,103,6429
Retail trade,2008-02-01,364,836,6429
Transportation and warehousing,2008-02-01,144,254,6429
Wholesale trade,2008-02-01,178,117,6429
Accommodation and food services,2008-06-01,399,922,7287
"Arts, entertainment, and recreation",2008-06-01,48,180,7287
Construction,2008-06-01,111,926,7287
Durable goods,2008-06-01,153,559,7287
Educational services,2008-06-01,54,130,7287
Finance and insurance,2008-06-01,147,190,7287
Government,2008-06-01,422,546,7287
Health care and social assistance,2008-06-01,659,487,7287
Information,2008-06-01,90,155,7287
Mining,2008-06-01,22,24,7287
Nondurable goods,2008-06-01,100,338,7287
"Other services, except government",2008-06-01,129,316,7287
Professional and business services,2008-06-01,709,902,7287
Real estate and rental and leasing,2008-06-01,42,138,7287
Retail trade,2008-06-01,305,976,7287
Transportation and warehousing,2008-06-01,114,329,7287
Wholesale trade,2008-06-01,134,169,7287
Accommodation and food services,2008-10-01,315,934,8670
"Arts, entertainment, and recreation",2008-10-01,42,254,8670
Construction,2008-10-01,62,1246,8670
Durable goods,2008-10-01,115,654,8670
Educational services,2008-10-01,59,228,8670
Finance and insurance,2008-10-01,100,323,8670
Government,2008-10-01,394,590,8670
Health care and social assistance,2008-10-01,551,569,8670
Information,2008-10-01,77,179,8670
Mining,2008-10-01,15,19,8670
Nondurable goods,2008-10-01,95,398,8670
"Other services, except government",2008-10-01,146,341,8670
Professional and business services,2008-10-01,547,1085,8670
Real estate and rental and leasing,2008-10-01,31,121,8670
Retail trade,2008-10-01,345,1135,8670
Transportation and warehousing,2008-10-01,104,355,8670
Wholesale trade,2008-10-01,72,239,8670
Accommodation and food services,2008-09-01,334,920,8266
"Arts, entertainment, and recreation",2008-09-01,37,211,8266
Construction,2008-09-01,108,1162,8266
Durable goods,2008-09-01,130,729,8266
Educational services,2008-09-01,50,211,8266
Finance and insurance,2008-09-01,122,279,8266
Government,2008-09-01,449,553,8266
Health care and social assistance,2008-09-01,526,574,8266
Information,2008-09-01,64,157,8266
Mining,2008-09-01,17,30,8266
Nondurable goods,2008-09-01,85,309,8266
"Other services, except government",2008-09-01,126,362,8266
Professional and business services,2008-09-01,576,993,8266
Real estate and rental and leasing,2008-09-01,60,112,8266
Retail trade,2008-09-01,280,1084,8266
Transportation and warehousing,2008-09-01,99,364,8266
Wholesale trade,2008-09-01,98,216,8266
Accommodation and food services,2008-03-01,485,802,6618
"Arts, entertainment, and recreation",2008-03-01,63,145,6618
Construction,2008-03-01,94,930,6618
Durable goods,2008-03-01,149,480,6618
Educational services,2008-03-01,59,158,6618
Finance and insurance,2008-03-01,186,203,6618
Government,2008-03-01,402,482,6618
Health care and social assistance,2008-03-01,706,490,6618
Information,2008-03-01,85,160,6618
Mining,2008-03-01,16,26,6618
Nondurable goods,2008-03-01,102,306,6618
"Other services, except government",2008-03-01,152,300,6618
Professional and business services,2008-03-01,794,808,6618
Real estate and rental and leasing,2008-03-01,80,100,6618
Retail trade,2008-03-01,399,870,6618
Transportation and warehousing,2008-03-01,128,241,6618
Wholesale trade,2008-03-01,122,117,6618
Accommodation and food services,2008-01-01,545,867,6537
"Arts, entertainment, and recreation",2008-01-01,56,187,6537
Construction,2008-01-01,135,865,6537
Durable goods,2008-01-01,197,439,6537
Educational services,2008-01-01,63,147,6537
Finance and insurance,2008-01-01,276,237,6537
Government,2008-01-01,423,474,6537
Health care and social assistance,2008-01-01,700,438,6537
Information,2008-01-01,88,160,6537
Mining,2008-01-01,16,23,6537
Nondurable goods,2008-01-01,127,365,6537
"Other services, except government",2008-01-01,169,254,6537
Professional and business services,2008-01-01,773,786,6537
Real estate and rental and leasing,2008-01-01,128,60,6537
Retail trade,2008-01-01,366,883,6537
Transportation and warehousing,2008-01-01,158,234,6537
Wholesale trade,2008-01-01,204,118,6537
Accommodation and food services,2008-04-01,442,767,6508
"Arts, entertainment, and recreation",2008-04-01,57,147,6508
Construction,2008-04-01,92,1017,6508
Durable goods,2008-04-01,158,497,6508
Educational services,2008-04-01,61,113,6508
Finance and insurance,2008-04-01,134,223,6508
Government,2008-04-01,354,469,6508
Health care and social assistance,2008-04-01,601,470,6508
Information,2008-04-01,78,145,6508
Mining,2008-04-01,18,27,6508
Nondurable goods,2008-04-01,112,270,6508
"Other services, except government",2008-04-01,193,276,6508
Professional and business services,2008-04-01,717,790,6508
Real estate and rental and leasing,2008-04-01,55,104,6508
Retail trade,2008-04-01,351,808,6508
Transportation and warehousing,2008-04-01,118,236,6508
Wholesale trade,2008-04-01,117,149,6508
Accommodation and food services,2009-11-01,212,1223,13117
"Arts, entertainment, and recreation",2009-11-01,24,317,13117
Construction,2009-11-01,64,1904,13117
Durable goods,2009-11-01,64,1276,13117
Educational services,2009-11-01,37,286,13117
Finance and insurance,2009-11-01,112,433,13117
Government,2009-11-01,350,821,13117
Health care and social assistance,2009-11-01,466,957,13117
Information,2009-11-01,35,259,13117
Mining,2009-11-01,7,99,13117
Nondurable goods,2009-11-01,70,673,13117
"Other services, except government",2009-11-01,105,475,13117
Professional and business services,2009-11-01,378,1668,13117
Real estate and rental and leasing,2009-11-01,38,211,13117
Retail trade,2009-11-01,217,1676,13117
Transportation and warehousing,2009-11-01,50,559,13117
Wholesale trade,2009-11-01,61,280,13117
Accommodation and food services,2009-01-01,192,1110,10476
"Arts, entertainment, and recreation",2009-01-01,29,219,10476
Construction,2009-01-01,34,1408,10476
Durable goods,2009-01-01,47,1123,10476
Educational services,2009-01-01,62,177,10476
Finance and insurance,2009-01-01,118,398,10476
Government,2009-01-01,372,655,10476
Health care and social assistance,2009-01-01,479,631,10476
Information,2009-01-01,57,221,10476
Mining,2009-01-01,13,52,10476
Nondurable goods,2009-01-01,57,523,10476
"Other services, except government",2009-01-01,132,413,10476
Professional and business services,2009-01-01,498,1283,10476
Real estate and rental and leasing,2009-01-01,34,185,10476
Retail trade,2009-01-01,321,1366,10476
Transportation and warehousing,2009-01-01,68,453,10476
Wholesale trade,2009-01-01,57,259,10476
Accommodation and food services,2009-09-01,269,1330,13195
"Arts, entertainment, and recreation",2009-09-01,22,277,13195
Construction,2009-09-01,67,1902,13195
Durable goods,2009-09-01,67,1348,13195
Educational services,2009-09-01,41,320,13195
Finance and insurance,2009-09-01,110,457,13195
Government,2009-09-01,308,894,13195
Health care and social assistance,2009-09-01,475,856,13195
Information,2009-09-01,61,341,13195
Mining,2009-09-01,7,87,13195
Nondurable goods,2009-09-01,58,622,13195
"Other services, except government",2009-09-01,91,448,13195
Professional and business services,2009-09-01,411,1660,13195
Real estate and rental and leasing,2009-09-01,66,238,13195
Retail trade,2009-09-01,278,1541,13195
Transportation and warehousing,2009-09-01,50,581,13195
Wholesale trade,2009-09-01,63,293,13195
Accommodation and food services,2009-04-01,257,1120,12124
"Arts, entertainment, and recreation",2009-04-01,23,271,12124
Construction,2009-04-01,21,1669,12124
Durable goods,2009-04-01,47,1256,12124
Educational services,2009-04-01,48,287,12124
Finance and insurance,2009-04-01,99,361,12124
Government,2009-04-01,366,726,12124
Health care and social assistance,2009-04-01,422,766,12124
Information,2009-04-01,37,327,12124
Mining,2009-04-01,8,116,12124
Nondurable goods,2009-04-01,48,644,12124
"Other services, except government",2009-04-01,104,445,12124
Professional and business services,2009-04-01,414,1529,12124
Real estate and rental and leasing,2009-04-01,28,196,12124
Retail trade,2009-04-01,188,1628,12124
Transportation and warehousing,2009-04-01,56,524,12124
Wholesale trade,2009-04-01,58,259,12124
Accommodation and food services,2009-08-01,180,1379,12975
"Arts, entertainment, and recreation",2009-08-01,24,299,12975
Construction,2009-08-01,58,1900,12975
Durable goods,2009-08-01,59,1338,12975
Educational services,2009-08-01,64,285,12975
Finance and insurance,2009-08-01,90,392,12975
Government,2009-08-01,301,861,12975
Health care and social assistance,2009-08-01,465,805,12975
Information,2009-08-01,41,346,12975
Mining,2009-08-01,5,93,12975
Nondurable goods,2009-08-01,63,624,12975
"Other services, except government",2009-08-01,101,496,12975
Professional and business services,2009-08-01,350,1599,12975
Real estate and rental and leasing,2009-08-01,35,168,12975
Retail trade,2009-08-01,236,1548,12975
Transportation and warehousing,2009-08-01,72,569,12975
Wholesale trade,2009-08-01,81,273,12975
Accommodation and food services,2009-10-01,212,1387,13431
"Arts, entertainment, and recreation",2009-10-01,24,304,13431
Construction,2009-10-01,59,1991,13431
Durable goods,2009-10-01,62,1353,13431
Educational services,2009-10-01,34,311,13431
Finance and insurance,2009-10-01,92,427,13431
Government,2009-10-01,409,841,13431
Health care and social assistance,2009-10-01,464,953,13431
Information,2009-10-01,62,280,13431
Mining,2009-10-01,6,97,13431
Nondurable goods,2009-10-01,57,631,13431
"Other services, except government",2009-10-01,106,539,13431
Professional and business services,2009-10-01,376,1527,13431
Real estate and rental and leasing,2009-10-01,46,245,13431
Retail trade,2009-10-01,211,1722,13431
Transportation and warehousing,2009-10-01,45,544,13431
Wholesale trade,2009-10-01,68,279,13431
Accommodation and food services,2009-06-01,253,1305,12963
"Arts, entertainment, and recreation",2009-06-01,15,323,12963
Construction,2009-06-01,51,1851,12963
Durable goods,2009-06-01,49,1400,12963
Educational services,2009-06-01,64,301,12963
Finance and insurance,2009-06-01,106,351,12963
Government,2009-06-01,320,825,12963
Health care and social assistance,2009-06-01,459,856,12963
Information,2009-06-01,41,335,12963
Mining,2009-06-01,5,90,12963
Nondurable goods,2009-06-01,52,667,12963
"Other services, except government",2009-06-01,133,543,12963
Professional and business services,2009-06-01,378,1610,12963
Real estate and rental and leasing,2009-06-01,31,153,12963
Retail trade,2009-06-01,272,1560,12963
Transportation and warehousing,2009-06-01,66,507,12963
Wholesale trade,2009-06-01,75,286,12963
Accommodation and food services,2009-05-01,247,1278,12671
"Arts, entertainment, and recreation",2009-05-01,20,305,12671
Construction,2009-05-01,38,1872,12671
Durable goods,2009-05-01,51,1318,12671
Educational services,2009-05-01,43,248,12671
Finance and insurance,2009-05-01,130,329,12671
Government,2009-05-01,303,820,12671
Health care and social assistance,2009-05-01,465,818,12671
Information,2009-05-01,41,292,12671
Mining,2009-05-01,10,113,12671
Nondurable goods,2009-05-01,43,667,12671
"Other services, except government",2009-05-01,112,496,12671
Professional and business services,2009-05-01,394,1517,12671
Real estate and rental and leasing,2009-05-01,32,206,12671
Retail trade,2009-05-01,329,1586,12671
Transportation and warehousing,2009-05-01,67,528,12671
Wholesale trade,2009-05-01,67,278,12671
Accommodation and food services,2009-12-01,196,1351,13141
"Arts, entertainment, and recreation",2009-12-01,17,312,13141
Construction,2009-12-01,70,1877,13141
Durable goods,2009-12-01,78,1267,13141
Educational services,2009-12-01,49,305,13141
Finance and insurance,2009-12-01,98,470,13141
Government,2009-12-01,379,913,13141
Health care and social assistance,2009-12-01,469,968,13141
Information,2009-12-01,66,282,13141
Mining,2009-12-01,6,83,13141
Nondurable goods,2009-12-01,81,496,13141
"Other services, except government",2009-12-01,116,550,13141
Professional and business services,2009-12-01,384,1519,13141
Real estate and rental and leasing,2009-12-01,33,212,13141
Retail trade,2009-12-01,219,1656,13141
Transportation and warehousing,2009-12-01,45,579,13141
Wholesale trade,2009-12-01,77,301,13141
Accommodation and food services,2009-03-01,253,1231,11702
"Arts, entertainment, and recreation",2009-03-01,24,257,11702
Construction,2009-03-01,48,1594,11702
Durable goods,2009-03-01,59,1222,11702
Educational services,2009-03-01,31,250,11702
Finance and insurance,2009-03-01,120,375,11702
Government,2009-03-01,351,684,11702
Health care and social assistance,2009-03-01,468,749,11702
Information,2009-03-01,55,256,11702
Mining,2009-03-01,9,94,11702
Nondurable goods,2009-03-01,60,572,11702
"Other services, except government",2009-03-01,146,402,11702
Professional and business services,2009-03-01,421,1460,11702
Real estate and rental and leasing,2009-03-01,42,219,11702
Retail trade,2009-03-01,259,1579,11702
Transportation and warehousing,2009-03-01,66,502,11702
Wholesale trade,2009-03-01,75,256,11702
Accommodation and food services,2009-07-01,213,1282,12922
"Arts, entertainment, and recreation",2009-07-01,13,293,12922
Construction,2009-07-01,42,1998,12922
Durable goods,2009-07-01,50,1351,12922
Educational services,2009-07-01,42,282,12922
Finance and insurance,2009-07-01,91,397,12922
Government,2009-07-01,316,834,12922
Health care and social assistance,2009-07-01,479,845,12922
Information,2009-07-01,39,352,12922
Mining,2009-07-01,3,95,12922
Nondurable goods,2009-07-01,44,649,12922
"Other services, except government",2009-07-01,87,495,12922
Professional and business services,2009-07-01,383,1594,12922
Real estate and rental and leasing,2009-07-01,32,191,12922
Retail trade,2009-07-01,178,1466,12922
Transportation and warehousing,2009-07-01,46,487,12922
Wholesale trade,2009-07-01,62,311,12922
Accommodation and food services,2009-02-01,275,1196,11146
"Arts, entertainment, and recreation",2009-02-01,22,195,11146
Construction,2009-02-01,68,1558,11146
Durable goods,2009-02-01,68,1130,11146
Educational services,2009-02-01,49,200,11146
Finance and insurance,2009-02-01,134,367,11146
Government,2009-02-01,368,647,11146
Health care and social assistance,2009-02-01,489,703,11146
Information,2009-02-01,66,226,11146
Mining,2009-02-01,8,63,11146
Nondurable goods,2009-02-01,67,576,11146
"Other services, except government",2009-02-01,154,422,11146
Professional and business services,2009-02-01,498,1382,11146
Real estate and rental and leasing,2009-02-01,49,222,11146
Retail trade,2009-02-01,311,1470,11146
Transportation and warehousing,2009-02-01,42,494,11146
Wholesale trade,2009-02-01,75,295,11146
Accommodation and food services,2010-09-01,248,1345,12684
"Arts, entertainment, and recreation",2010-09-01,33,326,12684
Construction,2010-09-01,70,1739,12684
Durable goods,2010-09-01,124,985,12684
Educational services,2010-09-01,51,296,12684
Finance and insurance,2010-09-01,185,423,12684
Government,2010-09-01,326,1049,12684
Health care and social assistance,2010-09-01,453,970,12684
Information,2010-09-01,61,310,12684
Mining,2010-09-01,15,75,12684
Nondurable goods,2010-09-01,59,554,12684
"Other services, except government",2010-09-01,124,519,12684
Professional and business services,2010-09-01,538,1473,12684
Real estate and rental and leasing,2010-09-01,28,183,12684
Retail trade,2010-09-01,236,1716,12684
Transportation and warehousing,2010-09-01,91,450,12684
Wholesale trade,2010-09-01,86,271,12684
Accommodation and food services,2010-07-01,282,1285,12557
"Arts, entertainment, and recreation",2010-07-01,38,257,12557
Construction,2010-07-01,95,1812,12557
Durable goods,2010-07-01,146,1014,12557
Educational services,2010-07-01,54,278,12557
Finance and insurance,2010-07-01,184,423,12557
Government,2010-07-01,354,875,12557
Health care and social assistance,2010-07-01,444,1005,12557
Information,2010-07-01,97,315,12557
Mining,2010-07-01,12,80,12557
Nondurable goods,2010-07-01,63,561,12557
"Other services, except government",2010-07-01,152,479,12557
Professional and business services,2010-07-01,517,1516,12557
Real estate and rental and leasing,2010-07-01,25,184,12557
Retail trade,2010-07-01,254,1681,12557
Transportation and warehousing,2010-07-01,64,518,12557
Wholesale trade,2010-07-01,85,274,12557
Accommodation and food services,2010-08-01,307,1274,12606
"Arts, entertainment, and recreation",2010-08-01,37,279,12606
Construction,2010-08-01,52,1812,12606
Durable goods,2010-08-01,118,1015,12606
Educational services,2010-08-01,49,280,12606
Finance and insurance,2010-08-01,180,402,12606
Government,2010-08-01,331,991,12606
Health care and social assistance,2010-08-01,433,985,12606
Information,2010-08-01,105,295,12606
Mining,2010-08-01,15,93,12606
Nondurable goods,2010-08-01,54,522,12606
"Other services, except government",2010-08-01,144,503,12606
Professional and business services,2010-08-01,618,1553,12606
Real estate and rental and leasing,2010-08-01,46,203,12606
Retail trade,2010-08-01,242,1679,12606
Transportation and warehousing,2010-08-01,83,452,12606
Wholesale trade,2010-08-01,81,268,12606
Accommodation and food services,2010-11-01,231,1313,13000
"Arts, entertainment, and recreation",2010-11-01,28,340,13000
Construction,2010-11-01,96,1706,13000
Durable goods,2010-11-01,152,1047,13000
Educational services,2010-11-01,58,294,13000
Finance and insurance,2010-11-01,194,426,13000
Government,2010-11-01,343,1043,13000
Health care and social assistance,2010-11-01,470,1090,13000
Information,2010-11-01,85,289,13000
Mining,2010-11-01,20,67,13000
Nondurable goods,2010-11-01,60,549,13000
"Other services, except government",2010-11-01,142,536,13000
Professional and business services,2010-11-01,650,1670,13000
Real estate and rental and leasing,2010-11-01,34,184,13000
Retail trade,2010-11-01,254,1665,13000
Transportation and warehousing,2010-11-01,76,489,13000
Wholesale trade,2010-11-01,105,292,13000
Accommodation and food services,2010-04-01,233,1428,13134
"Arts, entertainment, and recreation",2010-04-01,26,297,13134
Construction,2010-04-01,80,1850,13134
Durable goods,2010-04-01,111,1082,13134
Educational services,2010-04-01,55,256,13134
Finance and insurance,2010-04-01,175,493,13134
Government,2010-04-01,590,977,13134
Health care and social assistance,2010-04-01,459,889,13134
Information,2010-04-01,81,308,13134
Mining,2010-04-01,15,62,13134
Nondurable goods,2010-04-01,67,552,13134
"Other services, except government",2010-04-01,204,569,13134
Professional and business services,2010-04-01,475,1651,13134
Real estate and rental and leasing,2010-04-01,33,201,13134
Retail trade,2010-04-01,254,1692,13134
Transportation and warehousing,2010-04-01,73,513,13134
Wholesale trade,2010-04-01,85,314,13134
Accommodation and food services,2010-10-01,253,1248,12531
"Arts, entertainment, and recreation",2010-10-01,27,284,12531
Construction,2010-10-01,67,1637,12531
Durable goods,2010-10-01,140,1005,12531
Educational services,2010-10-01,65,299,12531
Finance and insurance,2010-10-01,204,439,12531
Government,2010-10-01,353,1024,12531
Health care and social assistance,2010-10-01,526,937,12531
Information,2010-10-01,62,324,12531
Mining,2010-10-01,22,95,12531
Nondurable goods,2010-10-01,55,549,12531
"Other services, except government",2010-10-01,125,539,12531
Professional and business services,2010-10-01,590,1562,12531
Real estate and rental and leasing,2010-10-01,29,171,12531
