BEA_sector,date,v,u,U_monthly
Finance and insurance,200803,186,203,6618
Government,200803,402,482,6618
Health care and social assistance,200803,706,490,6618
Information,200803,85,160,6618
Mining,200803,16,26,6618
Nondurable goods,200803,102,306,6618
"Other services, except government",200803,152,300,6618
Professional and business services,200803,794,808,6618
Real estate and rental and leasing,200803,80,100,6618
Retail trade,200803,399,870,6618
Transportation and warehousing,200803,128,241,6618
Wholesale trade,200803,122,117,6618
Accommodation and food services,200801,545,867,6537
"Arts, entertainment, and recreation",200801,56,187,6537
Construction,200801,135,865,6537
Durable goods,200801,197,439,6537
Educational services,200801,63,147,6537
Finance and insurance,200801,276,237,6537
Government,200801,423,474,6537
Health care and social assistance,200801,700,438,6537
Information,200801,88,160,6537
Mining,200801,16,23,6537
Nondurable goods,200801,127,365,6537
"Other services, except government",200801,169,254,6537
Professional and business services,200801,773,786,6537
Real estate and rental and leasing,200801,128,60,6537
Retail trade,200801,366,883,6537
Transportation and warehousing,200801,158,234,6537
Wholesale trade,200801,204,118,6537
Accommodation and food services,200804,442,767,6508
"Arts, entertainment, and recreation",200804,57,147,6508
Construction,200804,92,1017,6508
Durable goods,200804,158,497,6508
Educational services,200804,61,113,6508
Finance and insurance,200804,134,223,6508
Government,200804,354,469,6508
Health care and social assistance,200804,601,470,6508
Information,200804,78,145,6508
Mining,200804,18,27,6508
Nondurable goods,200804,112,270,6508
"Other services, except government",200804,193,276,6508
Professional and business services,200804,717,790,6508
Real estate and rental and leasing,200804,55,104,6508
Retail trade,200804,351,808,6508
Transportation and warehousing,200804,118,236,6508
Wholesale trade,200804,117,149,6508
Accommodation and food services,200911,212,1223,13117
"Arts, entertainment, and recreation",200911,24,317,13117
Construction,200911,64,1904,13117
Durable goods,200911,64,1276,13117
Educational services,200911,37,286,13117
Finance and insurance,200911,112,433,13117
Government,200911,350,821,13117
Health care and social assistance,200911,466,957,13117
Information,200911,35,259,13117
Mining,200911,7,99,13117
Nondurable goods,200911,70,673,13117
"Other services, except government",200911,105,475,13117
Professional and business services,200911,378,1668,13117
Real estate and rental and leasing,200911,38,211,13117
Retail trade,200911,217,1676,13117
Transportation and warehousing,200911,50,559,13117
Wholesale trade,200911,61,280,13117
Accommodation and food services,200901,192,1110,10476
"Arts, entertainment, and recreation",200901,29,219,10476
Construction,200901,34,1408,10476
Durable goods,200901,47,1123,10476
Educational services,200901,62,177,10476
Finance and insurance,200901,118,398,10476
Government,200901,372,655,10476
Health care and social assistance,200901,479,631,10476
Information,200901,57,221,10476
Mining,200901,13,52,10476
Nondurable goods,200901,57,523,10476
"Other services, except government",200901,132,413,10476
Professional and business services,200901,498,1283,10476
Real estate and rental and leasing,200901,34,185,10476
Retail trade,200901,321,1366,10476
Transportation and warehousing,200901,68,453,10476
Wholesale trade,200901,57,259,10476
Accommodation and food services,200909,269,1330,13195
"Arts, entertainment, and recreation",200909,22,277,13195
Construction,200909,67,1902,13195
Durable goods,200909,67,1348,13195
Educational services,200909,41,320,13195
Finance and insurance,200909,110,457,13195
Government,200909,308,894,13195
Health care and social assistance,200909,475,856,13195
Information,200909,61,341,13195
Mining,200909,7,87,13195
Nondurable goods,200909,58,622,13195
"Other services, except government",200909,91,448,13195
Professional and business services,200909,411,1660,13195
Real estate and rental and leasing,200909,66,238,13195
Retail trade,200909,278,1541,13195
Transportation and warehousing,200909,50,581,13195
Wholesale trade,200909,63,293,13195
Accommodation and food services,200904,257,1120,12124
"Arts, entertainment, and recreation",200904,23,271,12124
Construction,200904,21,1669,12124
Durable goods,200904,47,1256,12124
Educational services,200904,48,287,12124
Finance and insurance,200904,99,361,12124
Government,200904,366,726,12124
Health care and social assistance,200904,422,766,12124
Information,200904,37,327,12124
Mining,200904,8,116,12124
Nondurable goods,200904,48,644,12124
"Other services, except government",200904,104,445,12124
Professional and business services,200904,414,1529,12124
Real estate and rental and leasing,200904,28,196,12124
Retail trade,200904,188,1628,12124
Transportation and warehousing,200904,56,524,12124
Wholesale trade,200904,58,259,12124
Accommodation and food services,200908,180,1379,12975
"Arts, entertainment, and recreation",200908,24,299,12975
Construction,200908,58,1900,12975
Durable goods,200908,59,1338,12975
Educational services,200908,64,285,12975
Finance and insurance,200908,90,392,12975
Government,200908,301,861,12975
Health care and social assistance,200908,465,805,12975
Information,200908,41,346,12975
Mining,200908,5,93,12975
Nondurable goods,200908,63,624,12975
"Other services, except government",200908,101,496,12975
Professional and business services,200908,350,1599,12975
Real estate and rental and leasing,200908,35,168,12975
Retail trade,200908,236,1548,12975
Transportation and warehousing,200908,72,569,12975
Wholesale trade,200908,81,273,12975
Accommodation and food services,200910,212,1387,13431
"Arts, entertainment, and recreation",200910,24,304,13431
Construction,200910,59,1991,13431
Durable goods,200910,62,1353,13431
Educational services,200910,34,311,13431
Finance and insurance,200910,92,427,13431
Government,200910,409,841,13431
Health care and social assistance,200910,464,953,13431
Information,200910,62,280,13431
Mining,200910,6,97,13431
Nondurable goods,200910,57,631,13431
"Other services, except government",200910,106,539,13431
Professional and business services,200910,376,1527,13431
Real estate and rental and leasing,200910,46,245,13431
Retail trade,200910,211,1722,13431
Transportation and warehousing,200910,45,544,13431
Wholesale trade,200910,68,279,13431
Accommodation and food services,200906,253,1305,12963
"Arts, entertainment, and recreation",200906,15,323,12963
Construction,200906,51,1851,12963
Durable goods,200906,49,1400,12963
Educational services,200906,64,301,12963
Finance and insurance,200906,106,351,12963
Government,200906,320,825,12963
Health care and social assistance,200906,459,856,12963
Information,200906,41,335,12963
Mining,200906,5,90,12963
Nondurable goods,200906,52,667,12963
"Other services, except government",200906,133,543,12963
Professional and business services,200906,378,1610,12963
Real estate and rental and leasing,200906,31,153,12963
Retail trade,200906,272,1560,12963
Transportation and warehousing,200906,66,507,12963
Wholesale trade,200906,75,286,12963
Accommodation and food services,200905,247,1278,12671
"Arts, entertainment, and recreation",200905,20,305,12671
Construction,200905,38,1872,12671
Durable goods,200905,51,1318,12671
Educational services,200905,43,248,12671
Finance and insurance,200905,130,329,12671
Government,200905,303,820,12671
Health care and social assistance,200905,465,818,12671
Information,200905,41,292,12671
Mining,200905,10,113,12671
Nondurable goods,200905,43,667,12671
"Other services, except government",200905,112,496,12671
Professional and business services,200905,394,1517,12671
Real estate and rental and leasing,200905,32,206,12671
Retail trade,200905,329,1586,12671
Transportation and warehousing,200905,67,528,12671
Wholesale trade,200905,67,278,12671
Accommodation and food services,200912,196,1351,13141
"Arts, entertainment, and recreation",200912,17,312,13141
Construction,200912,70,1877,13141
Durable goods,200912,78,1267,13141
Educational services,200912,49,305,13141
Finance and insurance,200912,98,470,13141
Government,200912,379,913,13141
Health care and social assistance,200912,469,968,13141
Information,200912,66,282,13141
Mining,200912,6,83,13141
Nondurable goods,200912,81,496,13141
"Other services, except government",200912,116,550,13141
Professional and business services,200912,384,1519,13141
Real estate and rental and leasing,200912,33,212,13141
Retail trade,200912,219,1656,13141
Transportation and warehousing,200912,45,579,13141
Wholesale trade,200912,77,301,13141
Accommodation and food services,200903,253,1231,11702
"Arts, entertainment, and recreation",200903,24,257,11702
Construction,200903,48,1594,11702
Durable goods,200903,59,1222,11702
Educational services,200903,31,250,11702
Finance and insurance,200903,120,375,11702
Government,200903,351,684,11702
Health care and social assistance,200903,468,749,11702
Information,200903,55,256,11702
Mining,200903,9,94,11702
Nondurable goods,200903,60,572,11702
"Other services, except government",200903,146,402,11702
Professional and business services,200903,421,1460,11702
Real estate and rental and leasing,200903,42,219,11702
Retail trade,200903,259,1579,11702
Transportation and warehousing,200903,66,502,11702
Wholesale trade,200903,75,256,11702
Accommodation and food services,200907,213,1282,12922
"Arts, entertainment, and recreation",200907,13,293,12922
Construction,200907,42,1998,12922
Durable goods,200907,50,1351,12922
Educational services,200907,42,282,12922
Finance and insurance,200907,91,397,12922
Government,200907,316,834,12922
Health care and social assistance,200907,479,845,12922
Information,200907,39,352,12922
Mining,200907,3,95,12922
Nondurable goods,200907,44,649,12922
"Other services, except government",200907,87,495,12922
Professional and business services,200907,383,1594,12922
Real estate and rental and leasing,200907,32,191,12922
Retail trade,200907,178,1466,12922
Transportation and warehousing,200907,46,487,12922
Wholesale trade,200907,62,311,12922
Accommodation and food services,200902,275,1196,11146
"Arts, entertainment, and recreation",200902,22,195,11146
Construction,200902,68,1558,11146
Durable goods,200902,68,1130,11146
Educational services,200902,49,200,11146
Finance and insurance,200902,134,367,11146
Government,200902,368,647,11146
Health care and social assistance,200902,489,703,11146
Information,200902,66,226,11146
Mining,200902,8,63,11146
Nondurable goods,200902,67,576,11146
"Other services, except government",200902,154,422,11146
Professional and business services,200902,498,1382,11146
Real estate and rental and leasing,200902,49,222,11146
Retail trade,200902,311,1470,11146
Transportation and warehousing,200902,42,494,11146
Wholesale trade,200902,75,295,11146
Accommodation and food services,201009,248,1345,12684
"Arts, entertainment, and recreation",201009,33,326,12684
Construction,201009,70,1739,12684
Durable goods,201009,124,985,12684
Educational services,201009,51,296,12684
Finance and insurance,201009,185,423,12684
Government,201009,326,1049,12684
Health care and social assistance,201009,453,970,12684
Information,201009,61,310,12684
Mining,201009,15,75,12684
Nondurable goods,201009,59,554,12684
"Other services, except government",201009,124,519,12684
Professional and business services,201009,538,1473,12684
Real estate and rental and leasing,201009,28,183,12684
Retail trade,201009,236,1716,12684
Transportation and warehousing,201009,91,450,12684
Wholesale trade,201009,86,271,12684
Accommodation and food services,201007,282,1285,12557
"Arts, entertainment, and recreation",201007,38,257,12557
Construction,201007,95,1812,12557
Durable goods,201007,146,1014,12557
Educational services,201007,54,278,12557
Finance and insurance,201007,184,423,12557
Government,201007,354,875,12557
Health care and social assistance,201007,444,1005,12557
Information,201007,97,315,12557
Mining,201007,12,80,12557
Nondurable goods,201007,63,561,12557
"Other services, except government",201007,152,479,12557
Professional and business services,201007,517,1516,12557
Real estate and rental and leasing,201007,25,184,12557
Retail trade,201007,254,1681,12557
Transportation and warehousing,201007,64,518,12557
Wholesale trade,201007,85,274,12557
Accommodation and food services,201008,307,1274,12606
"Arts, entertainment, and recreation",201008,37,279,12606
Construction,201008,52,1812,12606
Durable goods,201008,118,1015,12606
Educational services,201008,49,280,12606
Finance and insurance,201008,180,402,12606
Government,201008,331,991,12606
Health care and social assistance,201008,433,985,12606
Information,201008,105,295,12606
Mining,201008,15,93,12606
Nondurable goods,201008,54,522,12606
"Other services, except government",201008,144,503,12606
Professional and business services,201008,618,1553,12606
Real estate and rental and leasing,201008,46,203,12606
Retail trade,201008,242,1679,12606
Transportation and warehousing,201008,83,452,12606
Wholesale trade,201008,81,268,12606
Accommodation and food services,201011,231,1313,13000
"Arts, entertainment, and recreation",201011,28,340,13000
Construction,201011,96,1706,13000
Durable goods,201011,152,1047,13000
Educational services,201011,58,294,13000
Finance and insurance,201011,194,426,13000
Government,201011,343,1043,13000
Health care and social assistance,201011,470,1090,13000
Information,201011,85,289,13000
Mining,201011,20,67,13000
Nondurable goods,201011,60,549,13000
"Other services, except government",201011,142,536,13000
Professional and business services,201011,650,1670,13000
Real estate and rental and leasing,201011,34,184,13000
Retail trade,201011,254,1665,13000
Transportation and warehousing,201011,76,489,13000
Wholesale trade,201011,105,292,13000
Accommodation and food services,201004,233,1428,13134
"Arts, entertainment, and recreation",201004,26,297,13134
Construction,201004,80,1850,13134
Durable goods,201004,111,1082,13134
Educational services,201004,55,256,13134
Finance and insurance,201004,175,493,13134
Government,201004,590,977,13134
Health care and social assistance,201004,459,889,13134
Information,201004,81,308,13134
Mining,201004,15,62,13134
Nondurable goods,201004,67,552,13134
"Other services, except government",201004,204,569,13134
Professional and business services,201004,475,1651,13134
Real estate and rental and leasing,201004,33,201,13134
Retail trade,201004,254,1692,13134
Transportation and warehousing,201004,73,513,13134
Wholesale trade,201004,85,314,13134
Accommodation and food services,201010,253,1248,12531
"Arts, entertainment, and recreation",201010,27,284,12531
Construction,201010,67,1637,12531
Durable goods,201010,140,1005,12531
Educational services,201010,65,299,12531
Finance and insurance,201010,204,439,12531
Government,201010,353,1024,12531
Health care and social assistance,201010,526,937,12531
Information,201010,62,324,12531
Mining,201010,22,95,12531
Nondurable goods,201010,55,549,12531
"Other services, except government",201010,125,539,12531
Professional and business services,201010,590,1562,12531
Real estate and rental and leasing,201010,29,171,12531
Retail trade,201010,273,1682,12531
Transportation and warehousing,201010,90,459,12531
Wholesale trade,201010,83,277,12531
Accommodation and food services,201001,214,1289,12978
"Arts, entertainment, and recreation",201001,14,317,12978
Construction,201001,66,1803,12978
Durable goods,201001,72,1281,12978
Educational services,201001,27,270,12978
Finance and insurance,201001,112,429,12978
Government,201001,387,947,12978
Health care and social assistance,201001,484,932,12978
Information,201001,98,305,12978
Mining,201001,7,62,12978
Nondurable goods,201001,55,563,12978
"Other services, except government",201001,170,585,12978
Professional and business services,201001,383,1444,12978
Real estate and rental and leasing,201001,32,198,12978
Retail trade,201001,221,1663,12978
Transportation and warehousing,201001,35,575,12978
Wholesale trade,201001,60,315,12978
Accommodation and food services,201005,228,1302,12701
"Arts, entertainment, and recreation",201005,41,273,12701
Construction,201005,71,1844,12701
Durable goods,201005,122,1025,12701
Educational services,201005,71,277,12701
Finance and insurance,201005,168,444,12701
Government,201005,376,901,12701
Health care and social assistance,201005,438,941,12701
Information,201005,76,308,12701
Mining,201005,16,55,12701
Nondurable goods,201005,68,533,12701
"Other services, except government",201005,116,516,12701
Professional and business services,201005,589,1614,12701
Real estate and rental and leasing,201005,35,171,12701
Retail trade,201005,261,1714,12701
Transportation and warehousing,201005,60,480,12701
Wholesale trade,201005,89,303,12701
Accommodation and food services,201006,230,1267,12494
"Arts, entertainment, and recreation",201006,68,292,12494
Construction,201006,74,2026,12494
Durable goods,201006,131,1007,12494
Educational services,201006,51,253,12494
Finance and insurance,201006,167,435,12494
Government,201006,298,802,12494
Health care and social assistance,201006,432,993,12494
Information,201006,54,275,12494
Mining,201006,16,61,12494
Nondurable goods,201006,68,545,12494
"Other services, except government",201006,124,517,12494
Professional and business services,201006,473,1504,12494
Real estate and rental and leasing,201006,39,192,12494
Retail trade,201006,247,1596,12494
Transportation and warehousing,201006,72,446,12494
Wholesale trade,201006,78,283,12494
Accommodation and food services,201002,215,1251,13088
"Arts, entertainment, and recreation",201002,21,249,13088
Construction,201002,63,1888,13088
Durable goods,201002,95,1188,13088
Educational services,201002,62,280,13088
Finance and insurance,201002,110,498,13088
Government,201002,366,1011,13088
Health care and social assistance,201002,451,986,13088
Information,201002,74,311,13088
Mining,201002,10,84,13088
Nondurable goods,201002,60,521,13088
"Other services, except government",201002,164,557,13088
Professional and business services,201002,387,1600,13088
Real estate and rental and leasing,201002,32,162,13088
Retail trade,201002,266,1699,13088
Transportation and warehousing,201002,59,521,13088
Wholesale trade,201002,54,282,13088
Accommodation and food services,201003,209,1298,13194
"Arts, entertainment, and recreation",201003,28,275,13194
Construction,201003,93,1839,13194
Durable goods,201003,100,1195,13194
Educational services,201003,69,276,13194
Finance and insurance,201003,131,489,13194
Government,201003,428,1012,13194
Health care and social assistance,201003,448,905,13194
Information,201003,62,323,13194
Mining,201003,10,64,13194
Nondurable goods,201003,58,575,13194
"Other services, except government",201003,143,555,13194
Professional and business services,201003,420,1628,13194
Real estate and rental and leasing,201003,15,178,13194
Retail trade,201003,307,1759,13194
Transportation and warehousing,201003,59,508,13194
Wholesale trade,201003,72,315,13194
Accommodation and food services,201012,242,1329,12313
"Arts, entertainment, and recreation",201012,45,286,12313
Construction,201012,44,1605,12313
Durable goods,201012,120,1011,12313
Educational services,201012,48,278,12313
Finance and insurance,201012,172,395,12313
Government,201012,420,1088,12313
Health care and social assistance,201012,472,936,12313
Information,201012,80,267,12313
Mining,201012,24,77,12313
Nondurable goods,201012,54,544,12313
"Other services, except government",201012,117,526,12313
Professional and business services,201012,601,1530,12313
Real estate and rental and leasing,201012,25,180,12313
Retail trade,201012,262,1544,12313
Transportation and warehousing,201012,118,460,12313
Wholesale trade,201012,80,257,12313
Accommodation and food services,201111,370,1238,11298
"Arts, entertainment, and recreation",201111,59,240,11298
Construction,201111,74,1176,11298
Durable goods,201111,174,792,11298
Educational services,201111,58,298,11298
Finance and insurance,201111,113,408,11298
Government,201111,369,1059,11298
Health care and social assistance,201111,548,908,11298
Information,201111,93,244,11298
Mining,201111,27,72,11298
Nondurable goods,201111,62,440,11298
"Other services, except government",201111,104,530,11298
Professional and business services,201111,496,1469,11298
Real estate and rental and leasing,201111,39,161,11298
Retail trade,201111,309,1544,11298
Transportation and warehousing,201111,119,475,11298
Wholesale trade,201111,123,244,11298
Accommodation and food services,201112,383,1149,11229
"Arts, entertainment, and recreation",201112,46,273,11229
Construction,201112,67,1223,11229
Durable goods,201112,180,792,11229
Educational services,201112,53,291,11229
Finance and insurance,201112,163,350,11229
Government,201112,392,1021,11229
Health care and social assistance,201112,532,985,11229
Information,201112,105,257,11229
Mining,201112,38,55,11229
Nondurable goods,201112,71,429,11229
"Other services, except government",201112,135,540,11229
Professional and business services,201112,642,1463,11229
Real estate and rental and leasing,201112,27,166,11229
Retail trade,201112,336,1563,11229
Transportation and warehousing,201112,140,428,11229
Wholesale trade,201112,108,244,11229
Accommodation and food services,201105,261,1104,11731
"Arts, entertainment, and recreation",201105,33,278,11731
Construction,201105,94,1429,11731
Durable goods,201105,142,921,11731
Educational services,201105,52,301,11731
Finance and insurance,201105,139,401,11731
Government,201105,317,978,11731
Health care and social assistance,201105,544,1017,11731
Information,201105,97,219,11731
Mining,201105,21,39,11731
Nondurable goods,201105,70,508,11731
"Other services, except government",201105,117,554,11731
Professional and business services,201105,634,1418,11731
Real estate and rental and leasing,201105,46,211,11731
Retail trade,201105,281,1607,11731
Transportation and warehousing,201105,127,502,11731
Wholesale trade,201105,79,244,11731
Accommodation and food services,201108,317,1166,11754
"Arts, entertainment, and recreation",201108,43,279,11754
Construction,201108,101,1400,11754
Durable goods,201108,156,902,11754
Educational services,201108,60,285,11754
Finance and insurance,201108,140,384,11754
Government,201108,358,974,11754
Health care and social assistance,201108,552,926,11754
Information,201108,102,201,11754
Mining,201108,27,53,11754
Nondurable goods,201108,70,533,11754
"Other services, except government",201108,83,556,11754
Professional and business services,201108,618,1467,11754
Real estate and rental and leasing,201108,46,185,11754
Retail trade,201108,317,1618,11754
Transportation and warehousing,201108,95,546,11754
Wholesale trade,201108,65,279,11754
Accommodation and food services,201106,296,1190,11812
"Arts, entertainment, and recreation",201106,56,248,11812
Construction,201106,70,1484,11812
Durable goods,201106,150,951,11812
Educational services,201106,67,271,11812
Finance and insurance,201106,160,405,11812
Government,201106,329,1021,11812
Health care and social assistance,201106,534,863,11812
Information,201106,89,230,11812
Mining,201106,26,45,11812
Nondurable goods,201106,65,478,11812
"Other services, except government",201106,134,538,11812
Professional and business services,201106,632,1389,11812
Real estate and rental and leasing,201106,44,205,11812
Retail trade,201106,321,1700,11812
Transportation and warehousing,201106,93,523,11812
Wholesale trade,201106,88,271,11812
Accommodation and food services,201107,282,1239,11615
"Arts, entertainment, and recreation",201107,61,248,11615
Construction,201107,76,1345,11615
Durable goods,201107,172,921,11615
Educational services,201107,73,277,11615
Finance and insurance,201107,153,377,11615
Government,201107,329,995,11615
Health care and social assistance,201107,524,859,11615
Information,201107,105,213,11615
Mining,201107,29,54,11615
Nondurable goods,201107,77,512,11615
"Other services, except government",201107,134,570,11615
Professional and business services,201107,647,1463,11615
Real estate and rental and leasing,201107,48,205,11615
Retail trade,201107,307,1618,11615
Transportation and warehousing,201107,110,472,11615
Wholesale trade,201107,121,247,11615
Accommodation and food services,201102,327,1350,11833
"Arts, entertainment, and recreation",201102,48,322,11833
Construction,201102,53,1461,11833
Durable goods,201102,142,922,11833
Educational services,201102,61,318,11833
Finance and insurance,201102,166,405,11833
Government,201102,322,1062,11833
Health care and social assistance,201102,488,946,11833
Information,201102,84,217,11833
Mining,201102,25,45,11833
Nondurable goods,201102,66,491,11833
"Other services, except government",201102,121,503,11833
Professional and business services,201102,607,1354,11833
Real estate and rental and leasing,201102,40,188,11833
Retail trade,201102,232,1493,11833
Transportation and warehousing,201102,109,442,11833
Wholesale trade,201102,107,314,11833
Accommodation and food services,201103,297,1314,11762
"Arts, entertainment, and recreation",201103,42,381,11762
Construction,201103,62,1397,11762
Durable goods,201103,161,883,11762
Educational services,201103,49,305,11762
Finance and insurance,201103,159,405,11762
Government,201103,303,1020,11762
Health care and social assistance,201103,563,934,11762
Information,201103,100,235,11762
Mining,201103,34,41,11762
Nondurable goods,201103,74,491,11762
"Other services, except government",201103,122,532,11762
Professional and business services,201103,625,1351,11762
Real estate and rental and leasing,201103,30,196,11762
Retail trade,201103,265,1429,11762
Transportation and warehousing,201103,119,500,11762
Wholesale trade,201103,100,348,11762
Accommodation and food services,201110,332,1264,11539
"Arts, entertainment, and recreation",201110,46,259,11539
Construction,201110,85,1276,11539
Durable goods,201110,163,816,11539
Educational services,201110,62,277,11539
Finance and insurance,201110,160,377,11539
Government,201110,380,998,11539
Health care and social assistance,201110,548,911,11539
Information,201110,105,211,11539
Mining,201110,23,71,11539
Nondurable goods,201110,71,452,11539
"Other services, except government",201110,129,593,11539
Professional and business services,201110,586,1526,11539
Real estate and rental and leasing,201110,48,163,11539
Retail trade,201110,310,1570,11539
Transportation and warehousing,201110,102,524,11539
Wholesale trade,201110,145,251,11539
Accommodation and food services,201104,271,1268,11741
"Arts, entertainment, and recreation",201104,37,299,11741
Construction,201104,100,1454,11741
Durable goods,201104,165,937,11741
Educational services,201104,61,235,11741
Finance and insurance,201104,176,391,11741
Government,201104,288,996,11741
Health care and social assistance,201104,494,952,11741
Information,201104,105,221,11741
Mining,201104,20,25,11741
Nondurable goods,201104,71,463,11741
"Other services, except government",201104,104,621,11741
Professional and business services,201104,489,1385,11741
Real estate and rental and leasing,201104,49,213,11741
Retail trade,201104,323,1516,11741
Transportation and warehousing,201104,115,482,11741
Wholesale trade,201104,102,283,11741
Accommodation and food services,201101,259,1313,11933
"Arts, entertainment, and recreation",201101,40,281,11933
Construction,201101,64,1559,11933
Durable goods,201101,158,928,11933
Educational services,201101,56,308,11933
Finance and insurance,201101,186,435,11933
Government,201101,317,1084,11933
Health care and social assistance,201101,420,991,11933
Information,201101,78,225,11933
Mining,201101,28,63,11933
Nondurable goods,201101,73,527,11933
"Other services, except government",201101,119,491,11933
Professional and business services,201101,466,1360,11933
Real estate and rental and leasing,201101,33,207,11933
Retail trade,201101,264,1477,11933
Transportation and warehousing,201101,83,436,11933
Wholesale trade,201101,113,248,11933
Accommodation and food services,201109,332,1353,11776
"Arts, entertainment, and recreation",201109,59,263,11776
Construction,201109,68,1317,11776
Durable goods,201109,163,864,11776
Educational services,201109,74,250,11776
Finance and insurance,201109,139,384,11776
Government,201109,392,974,11776
Health care and social assistance,201109,546,912,11776
Information,201109,118,196,11776
Mining,201109,34,63,11776
Nondurable goods,201109,72,500,11776
"Other services, except government",201109,137,598,11776
Professional and business services,201109,664,1552,11776
Real estate and rental and leasing,201109,43,148,11776
Retail trade,201109,331,1667,11776
Transportation and warehousing,201109,105,494,11776
Wholesale trade,201109,133,241,11776
