BEA_sector,date,v,u,U_monthly
Educational services,200304,48,164,7732
Finance and insurance,200304,194,248,7732
Government,200304,376,530,7732
Health care and social assistance,200304,577,494,7732
Information,200304,52,273,7732
Mining,200304,4,40,7732
Nondurable goods,200304,95,381,7732
"Other services, except government",200304,218,333,7732
Professional and business services,200304,520,1149,7732
Real estate and rental and leasing,200304,32,84,7732
Retail trade,200304,293,995,7732
Transportation and warehousing,200304,77,274,7732
Wholesale trade,200304,85,219,7732
Accommodation and food services,200309,342,871,7919
"Arts, entertainment, and recreation",200309,51,197,7919
Construction,200309,66,840,7919
Durable goods,200309,134,866,7919
Educational services,200309,40,142,7919
Finance and insurance,200309,158,198,7919
Government,200309,329,548,7919
Health care and social assistance,200309,511,512,7919
Information,200309,93,248,7919
Mining,200309,10,32,7919
Nondurable goods,200309,76,402,7919
"Other services, except government",200309,98,351,7919
Professional and business services,200309,649,1023,7919
Real estate and rental and leasing,200309,38,116,7919
Retail trade,200309,361,1069,7919
Transportation and warehousing,200309,82,283,7919
Wholesale trade,200309,109,221,7919
Accommodation and food services,200301,361,809,7534
"Arts, entertainment, and recreation",200301,35,175,7534
Construction,200301,115,847,7534
Durable goods,200301,131,803,7534
Educational services,200301,51,124,7534
Finance and insurance,200301,173,245,7534
Government,200301,425,576,7534
Health care and social assistance,200301,587,427,7534
Information,200301,97,238,7534
Mining,200301,6,44,7534
Nondurable goods,200301,86,385,7534
"Other services, except government",200301,147,309,7534
Professional and business services,200301,849,961,7534
Real estate and rental and leasing,200301,44,97,7534
Retail trade,200301,312,980,7534
Transportation and warehousing,200301,102,275,7534
Wholesale trade,200301,102,239,7534
Accommodation and food services,200303,331,843,7628
"Arts, entertainment, and recreation",200303,29,148,7628
Construction,200303,87,782,7628
Durable goods,200303,128,702,7628
Educational services,200303,36,134,7628
Finance and insurance,200303,145,234,7628
Government,200303,395,576,7628
Health care and social assistance,200303,552,414,7628
Information,200303,66,258,7628
Mining,200303,4,49,7628
Nondurable goods,200303,69,422,7628
"Other services, except government",200303,135,349,7628
Professional and business services,200303,659,1150,7628
Real estate and rental and leasing,200303,51,128,7628
Retail trade,200303,301,934,7628
Transportation and warehousing,200303,97,288,7628
Wholesale trade,200303,91,217,7628
Accommodation and food services,200310,372,850,7544
"Arts, entertainment, and recreation",200310,44,139,7544
Construction,200310,87,795,7544
Durable goods,200310,142,722,7544
Educational services,200310,48,129,7544
Finance and insurance,200310,172,196,7544
Government,200310,347,527,7544
Health care and social assistance,200310,579,543,7544
Information,200310,125,187,7544
Mining,200310,8,34,7544
Nondurable goods,200310,82,380,7544
"Other services, except government",200310,112,391,7544
Professional and business services,200310,597,1037,7544
Real estate and rental and leasing,200310,37,109,7544
Retail trade,200310,360,1020,7544
Transportation and warehousing,200310,94,268,7544
Wholesale trade,200310,103,217,7544
Accommodation and food services,200308,315,933,7751
"Arts, entertainment, and recreation",200308,48,142,7751
Construction,200308,108,790,7751
Durable goods,200308,145,784,7751
Educational services,200308,49,154,7751
Finance and insurance,200308,166,230,7751
Government,200308,319,596,7751
Health care and social assistance,200308,510,508,7751
Information,200308,39,222,7751
Mining,200308,5,29,7751
Nondurable goods,200308,80,456,7751
"Other services, except government",200308,122,345,7751
Professional and business services,200308,730,968,7751
Real estate and rental and leasing,200308,43,99,7751
Retail trade,200308,336,986,7751
Transportation and warehousing,200308,91,289,7751
Wholesale trade,200308,113,220,7751
Accommodation and food services,200311,368,826,7512
"Arts, entertainment, and recreation",200311,44,158,7512
Construction,200311,91,761,7512
Durable goods,200311,176,683,7512
Educational services,200311,47,156,7512
Finance and insurance,200311,186,206,7512
Government,200311,324,589,7512
Health care and social assistance,200311,539,537,7512
Information,200311,71,247,7512
Mining,200311,9,36,7512
Nondurable goods,200311,91,365,7512
"Other services, except government",200311,155,363,7512
